"Id,Hours_Studied,Attendance,Previous_Scores,Tutoring_Sessions,Exam_Score"
"467,24,69,83,3,66"
"468,25,63,69,0,64"
"469,17,83,80,4,67"
"470,17,85,94,4,69"
"471,18,80,65,2,65"
"472,6,93,52,0,64"
"473,11,94,66,1,65"
"474,28,85,98,2,72"
"475,30,61,90,2,66"
"476,19,88,59,2,66"
"477,23,77,51,1,67"
"478,22,83,83,1,69"
"479,38,86,79,3,73"
"480,27,74,54,3,69"
"481,19,97,98,1,68"
"482,14,65,81,1,61"
"483,10,87,83,0,63"
"484,21,60,93,0,63"
"485,15,97,67,1,68"
"486,11,65,78,2,63"
"487,16,64,79,3,66"
"488,14,73,98,2,65"
"489,30,75,57,0,68"
"490,25,69,88,0,66"
"491,20,83,79,2,66"
"492,29,78,92,2,70"
"493,20,61,92,0,61"
"494,15,73,51,2,61"
"495,29,92,63,1,71"
"496,23,88,59,1,67"
"497,14,89,73,2,70"
"498,19,88,95,2,69"
"499,15,72,50,2,65"
"500,12,64,74,0,61"
"501,26,71,94,3,68"
"502,31,93,96,2,74"
"503,12,99,83,1,67"
"504,23,80,91,5,70"
"505,16,60,66,1,59"
"506,17,66,64,0,64"
"507,16,73,52,2,66"
"508,15,83,75,1,63"
"509,20,63,73,0,61"
"510,15,98,69,2,68"
"511,22,75,56,3,65"
"512,20,97,62,1,69"
"513,19,91,60,2,68"
"514,15,90,97,2,69"
"515,17,84,98,1,67"
"516,25,85,50,1,70"
"517,23,86,59,1,68"
"518,14,85,94,0,67"
"519,21,82,52,4,67"
"520,25,99,97,0,75"
"521,10,89,69,3,63"
"522,23,91,77,1,70"
"523,16,95,88,2,70"
"524,23,69,62,1,64"
"525,15,63,55,0,59"
"526,9,79,90,1,63"
"527,10,81,99,2,67"
"528,20,93,83,0,68"
"529,22,78,91,0,68"
"530,15,83,97,2,97"
"531,24,81,61,1,66"
"532,10,62,68,3,61"
"533,20,85,61,2,70"
"534,13,93,53,1,65"
"535,16,66,87,3,64"
"536,20,84,57,2,69"
"537,15,84,55,1,64"
"538,18,67,68,2,61"
"539,26,65,53,3,64"
"540,17,99,59,0,68"
"541,25,76,53,1,67"
"542,13,69,94,3,62"
"543,23,67,89,2,66"
"544,29,87,93,1,72"
"545,5,84,93,4,68"
"546,15,86,97,4,71"
"547,23,64,59,3,65"
"548,19,96,95,2,68"
"549,22,76,76,2,65"
"550,16,73,58,1,64"
"551,21,78,83,2,65"
"552,19,76,66,0,65"
"553,27,95,52,3,73"
"554,22,97,54,1,72"
"555,22,72,71,1,64"
"556,18,95,91,0,69"
"557,17,91,66,1,69"
"558,17,97,88,0,70"
"559,22,70,53,1,83"
"560,17,83,70,3,68"
"561,22,71,56,1,84"
"562,32,93,93,1,75"
"563,25,60,98,1,67"
"564,18,83,66,0,69"
"565,27,74,99,3,71"
"566,18,73,88,1,66"
"567,8,86,50,1,65"
"568,14,94,74,1,70"
"569,9,84,92,1,66"
"570,18,94,77,3,74"
"571,20,71,77,0,66"
"572,30,81,72,0,68"
"573,22,78,70,2,68"
"574,19,60,51,0,62"
"575,25,82,81,2,71"
"576,7,86,88,2,63"
"577,21,84,90,2,69"
"578,25,89,81,3,71"
"579,11,83,67,1,66"
"580,27,63,51,0,64"
"581,22,65,95,3,65"
"582,18,84,71,4,69"
"583,24,71,80,2,66"
"584,34,63,60,1,67"
"585,21,77,57,4,65"
"586,21,82,54,3,65"
"587,17,73,90,1,67"
"588,15,89,82,1,66"
"589,25,86,81,1,69"
"590,15,73,96,1,64"
"591,20,90,58,1,70"
"592,17,86,59,3,68"
"593,23,85,59,1,68"
"594,22,82,71,1,69"
"595,26,60,94,3,68"
"596,17,88,94,5,70"
"597,18,75,80,2,67"
"598,14,98,83,3,72"
"599,17,93,95,1,69"
"600,22,84,81,1,69"
"601,25,70,61,3,64"
"602,14,68,85,2,63"
"603,25,74,88,3,70"
"604,28,79,82,0,70"
"605,22,72,64,1,66"
"606,31,81,70,1,70"
"607,15,67,74,0,66"
"608,13,99,57,1,68"
"609,9,64,73,1,61"
"610,29,97,58,1,72"
"611,24,97,75,1,69"
"612,20,81,53,0,63"
"613,22,89,97,2,72"
"614,13,77,62,1,65"
"615,35,85,73,1,74"
"616,21,74,52,1,62"
"617,21,72,60,0,65"
"618,24,83,85,1,68"
"619,23,80,56,3,66"
"620,21,83,81,3,71"
"621,15,71,50,1,62"
"622,23,75,73,1,65"
"623,31,63,86,0,68"
"624,28,62,96,4,70"
"625,30,70,75,1,67"
"626,17,63,92,2,63"
"627,14,64,90,0,63"
"628,19,93,65,0,69"
"629,20,62,94,3,66"
"630,27,86,82,2,70"
"631,10,71,55,2,63"
"632,29,95,97,0,72"
"633,19,79,59,1,65"
"634,17,72,74,2,67"
"635,14,81,73,1,63"
"636,10,75,81,3,65"
"637,25,83,83,2,67"
"638,20,65,62,0,80"
"639,12,100,68,2,68"
"640,12,77,57,2,63"
"641,18,74,56,1,64"
"642,30,88,91,3,73"
"643,18,75,88,2,66"
"644,11,93,72,2,66"
"645,19,78,55,0,66"
"646,18,89,72,4,69"
"647,4,64,65,1,59"
"648,20,94,89,0,68"
"649,19,89,55,1,67"
"650,24,68,73,1,64"
"651,31,66,80,0,65"
"652,27,73,99,1,68"
"653,18,99,54,0,70"
"654,13,70,56,2,62"
"655,35,78,99,1,72"
"656,20,61,70,1,62"
"657,20,76,87,1,68"
"658,20,83,89,3,69"
"659,21,98,66,3,73"
"660,19,81,61,3,69"
"661,17,93,64,1,67"
"662,17,82,88,2,65"
"663,20,62,92,2,63"
"664,17,73,85,2,66"
"665,16,83,72,1,66"
"666,21,98,63,0,70"
"667,18,94,71,2,69"
"668,29,69,96,1,70"
"669,4,69,93,2,58"
"670,27,68,66,3,67"
"671,27,97,66,1,73"
"672,8,94,89,0,66"
"673,18,91,71,0,70"
"674,18,76,79,1,67"
"675,12,80,71,1,60"
"676,15,79,62,1,65"
"677,13,70,59,0,63"
"678,31,80,57,1,72"
"679,26,61,51,0,62"
"680,28,65,64,6,70"
"681,24,95,59,2,70"
"682,13,90,63,0,64"
"683,17,77,54,3,64"
"684,23,81,67,0,67"
"685,13,75,76,1,64"
"686,24,90,97,1,72"
"687,19,91,67,0,66"
"688,18,91,52,2,66"
"689,24,89,68,0,71"
"690,23,68,91,5,66"
"691,18,74,67,2,64"
"692,27,79,65,0,66"
"693,14,73,96,1,62"
"694,24,90,65,4,70"
"695,24,73,99,3,69"
"696,18,66,92,2,65"
"697,22,76,84,2,70"
"698,12,99,80,0,70"
"699,26,69,61,1,67"
"700,19,84,87,2,69"
"701,17,77,67,0,62"
"702,26,63,74,1,67"
"703,16,80,55,0,65"
"704,12,88,65,0,65"
"705,11,81,76,1,65"
"706,24,95,73,3,69"
"707,12,72,67,4,63"
"708,31,63,74,3,66"
"709,8,97,87,0,67"
"710,30,75,73,1,69"
"711,21,83,75,1,67"
"712,19,92,85,1,70"
"713,17,73,92,2,67"
"714,22,89,76,2,70"
"715,20,65,97,0,65"
"716,27,72,68,0,63"
"717,21,66,63,0,64"
"718,21,92,85,1,69"
"719,18,69,59,1,60"
"720,20,89,95,3,69"
"721,22,98,69,4,72"
"722,10,81,85,1,63"
"723,12,82,79,0,63"
"724,24,78,53,0,66"
"725,21,73,85,6,70"
"726,19,79,90,1,68"
"727,20,84,99,2,69"
"728,22,99,71,0,72"
"729,17,98,75,1,67"
"730,15,94,94,1,68"
"731,21,96,63,1,70"
"732,14,79,59,5,68"
"733,22,86,57,2,69"
"734,10,96,99,1,68"
"735,26,76,64,0,66"
"736,23,98,88,1,72"
"737,22,77,72,2,67"
"738,26,84,62,3,70"
"739,30,88,96,1,73"
"740,26,98,73,1,73"
"741,9,70,78,1,60"
"742,12,90,61,2,67"
"743,16,81,66,3,69"
"744,20,71,87,1,65"
"745,23,91,67,2,70"
"746,16,82,75,3,68"
"747,21,86,56,1,66"
"748,15,73,93,1,65"
"749,16,79,87,1,64"
"750,12,85,88,1,67"
"751,14,76,59,3,65"
"752,12,68,75,1,64"
"753,14,98,51,0,67"
"754,26,80,66,2,70"
"755,14,89,67,3,63"
"756,36,76,96,1,71"
"757,23,74,100,2,68"
"758,21,76,81,0,67"
"759,15,76,76,1,67"
"760,24,82,72,0,68"
"761,17,82,51,1,66"
"762,21,80,90,0,68"
"763,35,65,84,0,70"
"764,19,80,82,5,67"
"765,27,67,90,2,67"
"766,16,65,96,2,62"
"767,20,97,69,0,67"
"768,31,84,71,4,70"
"769,16,86,99,4,72"
"770,31,76,83,2,70"
"771,24,96,93,2,94"
"772,17,86,61,2,66"
"773,24,91,66,2,69"
"774,26,75,70,0,68"
"775,24,98,66,2,71"
"776,11,93,94,4,69"
"777,16,94,76,2,67"
"778,19,67,98,2,64"
"779,20,71,66,1,63"
"780,24,71,52,2,66"
"781,21,71,57,2,66"
"782,12,94,61,3,69"
"783,22,61,82,4,64"
"784,24,63,59,1,62"
"785,23,71,69,3,66"
"786,26,68,90,4,70"
"787,25,69,56,2,67"
"788,23,92,54,0,68"
"789,20,83,77,0,67"
"790,10,60,85,0,62"
"791,23,77,96,1,67"
"792,21,76,83,0,68"
"793,22,65,97,2,64"
"794,12,87,62,2,64"
"795,14,88,67,2,66"
"796,26,89,92,2,72"
"797,20,89,91,2,72"
"798,24,60,83,2,66"
"799,20,98,75,4,72"
"800,20,93,51,1,69"
"801,26,96,64,2,72"
"802,17,61,58,1,60"
"803,21,97,53,0,69"
"804,17,92,89,0,68"
"805,17,93,57,3,69"
"806,18,64,68,1,62"
"807,21,90,99,2,71"
"808,17,98,70,1,70"
"809,28,87,57,2,68"
"810,15,83,84,1,68"
"811,19,98,90,1,70"
"812,17,78,64,0,65"
"813,29,84,90,0,73"
"814,21,79,64,0,66"
"815,26,97,85,2,71"
"816,11,63,56,2,62"
"817,22,80,71,2,68"
"818,25,87,76,1,70"
"819,20,92,86,0,34"
"820,26,83,83,2,71"
"821,17,96,93,2,70"
"822,28,98,59,1,72"
"823,34,63,83,2,69"
"824,18,76,56,1,63"
"825,17,61,74,0,62"
"826,29,73,76,2,68"
"827,29,81,51,2,70"
"828,17,96,54,1,69"
"829,17,94,92,2,68"
"830,18,65,64,2,65"
"831,12,64,67,3,59"
"832,14,84,82,3,66"
"833,14,81,61,0,64"
"834,15,71,60,5,63"
"835,20,96,71,5,72"
"836,21,97,53,0,67"
"837,29,76,96,2,94"
"838,14,96,97,2,70"
"839,26,75,72,0,66"
"840,19,89,60,4,69"
"841,20,79,74,2,64"
"842,24,65,55,1,63"
"843,13,97,70,1,71"
"844,22,78,54,1,65"
"845,21,89,85,1,68"
"846,23,75,64,1,64"
"847,22,61,76,1,64"
"848,35,64,51,2,66"
"849,16,80,76,1,68"
"850,17,88,50,3,67"
"851,16,73,96,1,66"
"852,17,88,75,2,68"
"853,16,88,55,3,66"
"854,27,88,67,3,71"
"855,29,80,52,4,71"
"856,17,97,77,0,68"
"857,15,80,56,3,64"
"858,23,78,74,3,67"
"859,17,68,65,0,64"
"860,24,72,88,3,68"
"861,21,62,74,0,62"
"862,11,85,92,0,64"
"863,29,70,97,3,70"
"864,31,72,98,0,68"
"865,16,91,63,2,69"
"866,18,73,88,3,65"
"867,22,70,72,2,67"
"868,22,67,71,2,65"
"869,24,91,93,0,71"
"870,32,65,57,2,65"
"871,19,78,74,2,66"
"872,15,80,80,0,65"
"873,12,87,53,2,65"
"874,16,85,93,1,68"
"875,20,92,66,2,68"
"876,31,62,83,0,67"
"877,17,72,96,3,65"
"878,21,71,86,2,66"
"879,20,66,94,0,63"
"880,27,72,53,1,70"
"881,35,72,75,1,72"
"882,17,81,78,2,67"
"883,17,87,84,0,67"
"884,26,75,56,1,66"
"885,24,89,83,1,66"
"886,31,73,57,2,69"
"887,24,72,53,0,62"
"888,18,82,73,2,66"
"889,24,61,80,0,64"
"890,27,63,98,1,67"
"891,25,77,85,2,71"
"892,23,98,80,1,73"
"893,26,89,61,0,68"
"894,27,64,58,2,66"
"895,28,94,80,3,35"
"896,24,89,61,1,72"
"897,19,84,85,1,68"
"898,21,93,56,1,68"
"899,27,76,67,1,69"
"900,15,69,89,1,63"
"901,22,80,92,0,70"
"902,18,82,67,1,66"
"903,20,82,60,3,66"
"904,28,83,98,1,72"
"905,21,98,88,1,71"
"906,20,96,90,3,72"
"907,12,95,61,4,69"
"908,24,92,71,2,71"
"909,24,98,53,3,69"
"910,33,64,55,1,68"
"911,18,71,61,2,61"
"912,21,80,65,2,68"
"913,21,94,100,0,72"
"914,29,80,71,0,70"
"915,19,90,85,0,73"
"916,22,66,95,3,67"
"917,24,70,62,2,65"
"918,21,89,57,1,68"
"919,17,67,62,3,65"
"920,21,74,94,1,97"
"921,26,71,83,1,66"
"922,14,74,73,2,67"
"923,21,88,91,2,70"
"924,16,75,62,3,66"
"925,27,82,62,1,69"
"926,11,64,78,2,62"
"927,17,92,90,1,68"
"928,22,75,63,1,67"
"929,29,86,61,0,68"
"930,20,89,74,1,69"
"931,17,68,57,1,62"
"932,31,95,87,2,75"
"933,11,85,79,2,65"
"934,7,77,76,2,63"
"935,23,67,94,1,66"
"936,17,98,87,3,71"
"937,14,90,57,0,66"
"938,24,68,71,2,66"
"939,21,74,66,1,66"
"940,17,92,90,1,71"
"941,12,88,86,3,68"
"942,25,91,74,1,71"
"943,24,78,91,0,68"
"944,19,89,71,2,68"
"945,31,75,90,2,68"
"946,14,68,52,2,62"
"947,11,85,57,0,65"
"948,16,99,88,2,71"
"949,20,72,56,0,63"
"950,21,78,84,1,68"
"951,19,87,86,1,69"
"952,22,82,83,1,69"
"953,12,94,91,3,71"
"954,29,90,76,0,71"
"955,20,62,95,0,62"
"956,27,100,78,2,70"
"957,22,90,75,1,70"
"958,23,95,75,2,73"
"959,23,86,96,3,71"
"960,23,94,62,2,69"
"961,24,64,85,0,66"
"962,28,74,62,1,65"
"963,21,95,55,2,71"
"964,24,68,98,2,68"
"965,19,63,56,2,64"
"966,29,92,84,2,71"
"967,16,93,71,0,67"
"968,31,67,92,2,66"
"969,20,94,89,1,71"
"970,11,87,57,0,62"
"971,21,81,73,3,67"
"972,16,93,51,3,67"
"973,25,77,71,0,66"
"974,16,68,85,1,64"
"975,17,71,62,2,62"
"976,9,80,91,1,65"
"977,17,81,53,0,63"
"978,5,92,52,2,64"
"979,10,92,51,1,65"
"980,25,83,64,0,68"
"981,25,91,73,2,72"
"982,23,68,55,0,64"
"983,14,62,100,1,62"
"984,20,95,100,3,69"
"985,20,63,76,3,64"
"986,13,70,78,1,61"
"987,29,88,96,2,72"
"988,25,76,88,1,66"
"989,19,95,58,2,69"
"990,20,72,90,2,65"
"991,21,60,62,2,64"
"992,8,72,72,3,62"
"993,19,83,77,1,66"
