"Id,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Motivation_Level,Internet_Access,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Gender"
"43,Low,High,No,7,Medium,Yes,Medium,Medium,Private,Positive,3,No,High School,Male"
"44,Medium,High,Yes,7,Medium,Yes,Medium,Medium,Private,Negative,2,Yes,College,Male"
"45,Medium,Medium,Yes,9,Low,Yes,Medium,Medium,Private,Positive,3,No,Postgraduate,Male"
"46,Medium,Medium,Yes,8,Medium,Yes,Medium,Medium,Public,Positive,3,No,High School,Male"
"47,Medium,Medium,Yes,6,Medium,Yes,Medium,High,Private,Positive,3,No,College,Female"
"48,Medium,Low,Yes,6,Medium,Yes,Low,Medium,Public,Positive,3,No,High School,Female"
"49,Low,Medium,Yes,7,Low,Yes,Low,High,Public,Positive,2,No,High School,Male"
"50,Medium,Medium,No,5,Medium,Yes,Medium,High,Public,Neutral,3,No,High School,Male"
"51,Low,Medium,Yes,7,Low,Yes,Medium,Low,Public,Positive,4,No,College,Male"
"52,High,Medium,No,7,Medium,Yes,Medium,Medium,Public,Neutral,3,No,College,Male"
"53,Low,Medium,Yes,8,Medium,Yes,Medium,Medium,Public,Positive,4,No,High School,Male"
"54,High,Low,No,8,Medium,Yes,Medium,Medium,Public,Neutral,3,No,High School,Female"
"55,Medium,High,Yes,7,Low,Yes,High,High,Private,Neutral,4,Yes,Postgraduate,Female"
"56,Medium,High,Yes,5,Medium,Yes,Low,High,Private,Positive,4,No,College,Male"
"57,Medium,High,No,5,Low,No,Medium,High,Public,Neutral,2,Yes,High School,Female"
"58,Medium,Medium,Yes,6,High,Yes,Medium,Medium,Public,Positive,4,No,High School,Male"
"59,High,Low,No,8,Medium,Yes,Medium,High,Public,Positive,1,No,Postgraduate,Female"
"60,Medium,Low,Yes,8,Medium,Yes,Low,Medium,Private,Neutral,3,No,High School,Male"
"61,Medium,Medium,No,7,Medium,Yes,High,Medium,Public,Negative,5,No,Postgraduate,Female"
"62,Medium,Medium,Yes,10,Low,Yes,Low,Medium,Public,Positive,3,No,High School,Male"
"63,Low,High,Yes,9,High,Yes,Low,High,Private,Negative,4,No,Postgraduate,Male"
"64,Medium,High,Yes,9,High,Yes,Low,Medium,Public,Neutral,3,No,College,Male"
"65,Low,High,Yes,8,Medium,No,Medium,High,Private,Neutral,3,No,Postgraduate,Male"
"66,Medium,High,Yes,8,Medium,Yes,Medium,Medium,Public,Neutral,2,No,High School,Male"
"67,Medium,Medium,Yes,8,Medium,Yes,Low,Medium,Public,Negative,3,No,Postgraduate,Male"
"68,Low,High,Yes,4,High,Yes,Medium,High,Private,Positive,2,No,High School,Male"
"69,Medium,High,No,5,Low,No,Low,High,Public,Negative,4,No,High School,Female"
"70,Medium,Medium,No,7,Medium,Yes,Low,Medium,Public,Negative,4,No,College,Male"
"71,Medium,Low,Yes,7,Medium,No,Medium,Medium,Public,Positive,3,No,College,Female"
"72,Medium,Low,Yes,7,Medium,Yes,Low,Medium,Public,Positive,3,No,High School,Male"
"73,Medium,Medium,Yes,7,Medium,Yes,Low,Low,Public,Neutral,4,No,College,Female"
"74,Low,Medium,No,4,Medium,Yes,Medium,Medium,Public,Negative,1,No,Postgraduate,Female"
"75,High,High,Yes,8,High,Yes,Medium,High,Private,Positive,4,No,College,Male"
"76,Medium,Medium,No,7,Medium,Yes,Medium,Medium,Public,Positive,3,No,Postgraduate,Female"
"77,Low,Medium,Yes,7,Medium,Yes,Medium,Medium,Private,Neutral,3,No,Postgraduate,Male"
"78,High,Low,Yes,8,Medium,Yes,Medium,Medium,Public,Neutral,3,No,High School,Female"
"79,Medium,Medium,Yes,5,Medium,Yes,High,Medium,Public,Neutral,5,Yes,College,Male"
"80,Medium,Medium,Yes,7,Medium,Yes,High,Medium,Public,Positive,3,No,College,Male"
"81,Medium,High,Yes,7,High,Yes,Low,Medium,Public,Negative,2,No,High School,Male"
"82,High,Medium,No,6,High,Yes,Low,Low,Public,Positive,3,No,High School,Male"
"83,High,High,Yes,4,Low,Yes,Medium,High,Public,Neutral,3,No,College,Male"
"84,Medium,Medium,Yes,5,High,Yes,Medium,Medium,Private,Negative,3,No,High School,Female"
"85,Medium,Medium,No,7,Medium,Yes,Low,Medium,Public,Positive,4,No,College,Male"
"86,Medium,High,Yes,7,Low,Yes,Medium,Medium,Public,Neutral,3,No,High School,Male"
"87,Medium,High,Yes,7,Medium,Yes,Medium,High,Private,Negative,4,No,College,Male"
"88,Low,Low,No,6,Medium,Yes,Medium,Medium,Public,Neutral,0,No,High School,Male"
"89,Medium,High,No,5,High,Yes,High,Medium,Public,Neutral,3,No,College,Male"
"90,Medium,Low,Yes,7,Low,Yes,Medium,Medium,Public,Negative,3,No,College,Female"
"91,High,Medium,No,7,Medium,Yes,Medium,High,Public,Neutral,4,Yes,College,Male"
"92,Medium,Low,Yes,8,Medium,Yes,Medium,Low,Private,Neutral,4,Yes,High School,Female"
"93,Medium,Medium,Yes,6,Low,Yes,High,Medium,Private,Positive,4,No,College,Male"
"94,High,Medium,Yes,4,Low,Yes,Low,Medium,Public,Positive,3,No,High School,Male"
"95,High,Medium,Yes,4,Medium,Yes,High,Medium,Private,Positive,2,No,College,Female"
"96,Medium,Medium,No,6,Medium,Yes,Medium,Medium,Public,Neutral,3,No,College,Male"
"97,Low,Medium,No,7,Low,No,Medium,Medium,Public,Negative,3,No,High School,Male"
"98,Medium,Medium,Yes,7,Low,Yes,Medium,Medium,Public,Positive,3,No,Postgraduate,Female"
"99,High,High,Yes,6,Medium,Yes,Low,Medium,Private,Positive,3,No,High School,Male"
"100,Low,Medium,No,5,High,Yes,Medium,Medium,Public,Positive,3,No,College,Male"
"101,Medium,Medium,No,4,High,Yes,Medium,High,Public,Neutral,3,Yes,High School,Male"
"102,Medium,High,Yes,8,Medium,Yes,High,High,Public,Neutral,4,Yes,Postgraduate,Female"
"103,Medium,Medium,Yes,7,Medium,Yes,Low,High,Private,Neutral,3,No,College,Male"
"104,High,Medium,No,6,High,Yes,Low,High,Public,Positive,3,No,College,Male"
"105,Medium,Medium,No,5,High,Yes,Low,Low,Private,Negative,3,No,High School,Male"
"106,Medium,Low,Yes,6,Low,Yes,Medium,Medium,Public,Negative,4,No,Postgraduate,Male"
"107,Medium,Medium,No,7,Medium,Yes,High,High,Public,Positive,5,No,Postgraduate,Male"
"108,Medium,High,Yes,7,High,Yes,Low,Medium,Public,Positive,3,Yes,College,Female"
"109,Medium,Medium,Yes,7,High,Yes,Low,High,Public,Positive,2,No,Postgraduate,Female"
"110,High,Medium,Yes,9,Medium,Yes,Medium,High,Public,Positive,3,No,College,Male"
"111,High,Medium,Yes,6,Medium,Yes,Low,Medium,Public,Neutral,2,No,High School,Male"
"112,Medium,Medium,No,9,Medium,Yes,Low,High,Private,Positive,3,No,Postgraduate,Male"
"113,Low,High,Yes,7,High,Yes,Medium,Medium,Public,Negative,5,No,College,Male"
"114,High,High,Yes,7,Low,Yes,Medium,High,Private,Neutral,2,No,Postgraduate,Female"
"115,Medium,Medium,No,8,Medium,Yes,High,Medium,Public,Neutral,3,No,High School,Female"
"116,High,High,Yes,6,Medium,Yes,High,High,Public,Positive,3,No,High School,Female"
"117,Low,High,No,7,High,Yes,Low,High,Public,Positive,4,Yes,High School,Male"
"118,Medium,Medium,No,5,Medium,Yes,Low,High,Public,Positive,2,No,High School,Male"
"119,Low,High,Yes,8,Medium,Yes,High,Medium,Public,Positive,5,No,High School,Female"
"120,High,High,Yes,8,Low,Yes,Low,Medium,Private,Positive,4,No,College,Female"
"121,High,Medium,No,9,High,Yes,Low,High,Public,Positive,3,Yes,High School,Female"
"122,Medium,Medium,Yes,7,Medium,Yes,Medium,Medium,Public,Negative,3,No,College,Male"
"123,Low,High,Yes,9,High,Yes,Low,Medium,Private,Positive,1,No,College,Female"
"124,Low,Medium,No,6,Low,Yes,Medium,Medium,Public,Positive,2,No,College,Male"
"125,Medium,High,Yes,8,Medium,Yes,High,Medium,Private,Neutral,3,Yes,College,Male"
"126,Medium,Medium,Yes,6,Low,Yes,Low,High,Public,Neutral,4,No,College,Male"
"127,Medium,Medium,No,7,Medium,Yes,Medium,High,Private,Positive,4,No,College,Female"
"128,Medium,Medium,No,8,Medium,Yes,Low,,Public,Neutral,4,No,High School,Male"
"129,Medium,Medium,Yes,10,Medium,Yes,High,Low,Private,Positive,2,No,College,Male"
"130,Low,Medium,Yes,8,Low,Yes,Medium,Medium,Public,Neutral,6,No,High School,Female"
"131,Medium,High,Yes,8,Medium,Yes,Low,Medium,Public,Neutral,3,No,Postgraduate,Male"
"132,Medium,Medium,No,6,Low,Yes,Low,High,Public,Positive,4,No,High School,Female"
"133,High,Low,No,7,Medium,Yes,Low,High,Public,Negative,3,No,High School,Male"
"134,Medium,Medium,Yes,7,Medium,Yes,Low,High,Public,Neutral,2,No,High School,Male"
"135,Medium,Medium,No,9,Medium,Yes,Low,High,Private,Negative,3,No,Postgraduate,Female"
"136,Medium,High,Yes,7,Low,Yes,Low,Medium,Private,Positive,3,No,College,Female"
"137,High,High,No,9,Low,Yes,Low,Medium,Public,Negative,1,No,High School,Male"
"138,Low,Medium,Yes,5,Medium,Yes,Medium,Medium,Public,Neutral,3,No,High School,Female"
"139,Medium,Low,No,9,High,Yes,Low,High,Private,Positive,2,No,High School,Male"
"140,High,Medium,No,6,Medium,Yes,High,Medium,Private,Neutral,1,Yes,High School,Male"
"141,Medium,Medium,No,8,High,Yes,Medium,High,Public,Neutral,0,No,College,Male"
"142,Medium,High,No,6,High,Yes,Low,Medium,Private,Negative,3,Yes,Postgraduate,Male"
"143,Medium,Low,No,8,Medium,Yes,Low,High,Public,Positive,1,Yes,Postgraduate,Female"
"144,High,Medium,No,6,Medium,Yes,High,Medium,Private,Neutral,2,No,Postgraduate,Female"
"145,Medium,Medium,No,9,Medium,Yes,Low,Medium,Public,Negative,2,Yes,High School,Female"
"146,Medium,High,No,8,High,No,Low,High,Private,Negative,5,No,Postgraduate,Female"
"147,Low,High,No,6,Medium,Yes,Low,Medium,Private,Negative,4,No,High School,Male"
"148,Low,High,Yes,8,Medium,Yes,Medium,High,Public,Negative,3,No,College,Female"
"149,High,High,Yes,8,Low,Yes,Medium,Medium,Public,Negative,3,Yes,Postgraduate,Female"
"150,Medium,High,Yes,6,Medium,Yes,Low,Medium,Public,Positive,3,No,College,Female"
"151,Medium,High,Yes,5,Medium,Yes,Low,High,Public,Positive,3,No,Postgraduate,Female"
"152,High,High,No,5,Low,Yes,Low,High,Public,Negative,3,No,High School,Female"
"153,Medium,High,Yes,5,Low,Yes,Low,Medium,Public,Neutral,2,No,High School,Male"
"154,Low,Medium,Yes,5,Medium,Yes,Low,High,Public,Positive,2,No,High School,Female"
"155,Medium,Medium,Yes,8,Medium,Yes,Low,High,Public,Neutral,4,No,High School,Female"
"156,Medium,Medium,Yes,8,Medium,Yes,Medium,Medium,Public,Positive,2,No,Postgraduate,Female"
"157,Medium,Medium,Yes,4,Medium,Yes,Medium,High,Public,Positive,4,Yes,High School,Male"
"158,Low,High,No,6,Low,Yes,Medium,Medium,Public,Neutral,2,No,College,Male"
"159,Medium,High,No,5,Low,Yes,Medium,Medium,Private,Positive,4,No,High School,Female"
"160,Medium,Medium,Yes,8,High,Yes,Low,High,Public,Negative,3,No,High School,Male"
"161,Medium,Medium,Yes,6,Medium,Yes,Medium,Medium,Public,Negative,3,Yes,College,Female"
"162,Medium,High,No,5,Low,Yes,Medium,Medium,Public,Neutral,4,No,College,Male"
"163,Medium,Medium,No,7,Low,Yes,Medium,High,Public,Positive,4,No,High School,Male"
"164,Medium,Medium,Yes,8,Low,Yes,High,High,Public,Positive,3,No,College,Male"
"165,Medium,High,Yes,6,Medium,Yes,High,Low,Public,Neutral,3,No,High School,Male"
"166,High,Low,Yes,7,Medium,No,Low,Medium,Public,Neutral,2,No,High School,Male"
"167,High,Medium,Yes,6,Medium,Yes,Medium,Low,Private,Positive,3,No,High School,Male"
"168,Medium,Medium,Yes,9,Medium,Yes,Low,Medium,Private,Neutral,3,No,College,Male"
"169,High,Low,No,6,Medium,Yes,Medium,High,Public,Neutral,4,No,College,Male"
"170,High,Medium,No,6,Medium,Yes,Medium,High,Public,Positive,4,No,Postgraduate,Male"
"171,Medium,Medium,Yes,7,High,Yes,High,Medium,Private,Positive,3,No,Postgraduate,Male"
"172,Medium,Medium,No,7,High,No,Medium,High,Public,Negative,2,No,High School,Male"
"173,High,Low,No,8,Medium,Yes,Medium,Medium,Public,Neutral,4,Yes,College,Female"
"174,Medium,High,No,9,Low,Yes,Low,High,Public,Positive,2,No,Postgraduate,Male"
"175,Medium,Medium,No,9,Medium,Yes,Medium,Medium,Public,Positive,3,No,High School,Male"
"176,Medium,Medium,No,6,Medium,No,Low,High,Public,Positive,3,No,High School,Female"
"177,Medium,Medium,Yes,7,Low,Yes,Low,Low,Private,Positive,3,No,Postgraduate,Male"
"178,Medium,Medium,Yes,9,Low,No,Medium,Medium,Public,Neutral,2,No,Postgraduate,Female"
"179,Medium,Medium,No,9,High,Yes,High,Low,Public,Neutral,4,No,College,Female"
"180,Medium,Medium,Yes,6,Medium,Yes,High,Medium,Public,Positive,2,No,High School,Male"
"181,Low,High,No,8,Low,Yes,Medium,Medium,Public,Neutral,1,No,High School,Male"
"182,High,High,No,8,Medium,Yes,Low,Medium,Public,Neutral,4,No,College,Male"
"183,Medium,Medium,Yes,8,Low,Yes,Medium,High,Public,Neutral,4,No,High School,Male"
"184,Low,Low,Yes,9,Low,Yes,Low,Medium,Public,Negative,2,No,College,Male"
"185,Low,Medium,Yes,5,Medium,Yes,Low,Low,Public,Positive,2,No,High School,Male"
"186,Medium,Low,Yes,6,Medium,Yes,Low,High,Private,Neutral,5,No,College,Female"
"187,High,High,Yes,8,High,Yes,High,Medium,Private,Positive,3,No,High School,Male"
"188,Low,Medium,Yes,7,Medium,Yes,Medium,Medium,Public,Neutral,4,No,High School,Male"
"189,Low,High,Yes,4,Low,Yes,Low,Medium,Public,Positive,3,No,High School,Female"
"190,Medium,High,Yes,5,Medium,Yes,High,Medium,Private,Neutral,4,No,College,Male"
"191,Medium,Medium,Yes,8,Medium,Yes,Medium,Medium,Public,Positive,1,No,Postgraduate,Male"
"192,Medium,Medium,No,8,Low,Yes,Medium,High,Public,Positive,0,No,Postgraduate,Male"
"193,Medium,Medium,No,5,High,Yes,Medium,Low,Public,Positive,4,No,High School,Male"
"194,Medium,Low,Yes,9,Low,Yes,High,Medium,Private,Neutral,4,No,High School,Female"
"195,Medium,High,Yes,7,Low,Yes,Low,Medium,Public,Negative,4,No,College,Male"
"196,High,Medium,No,5,Medium,Yes,High,High,Public,Negative,3,No,College,Male"
"197,Low,Low,Yes,6,Low,Yes,Low,Medium,Public,Negative,5,No,High School,Male"
"198,Medium,High,Yes,5,Medium,Yes,High,Low,Public,Neutral,2,No,High School,Male"
"199,High,Medium,Yes,6,High,No,Medium,Medium,Public,Neutral,4,Yes,High School,Male"
"200,High,Low,Yes,4,Medium,Yes,Medium,High,Public,Neutral,3,No,High School,Female"
"201,Low,Medium,Yes,7,High,Yes,High,Medium,Public,Neutral,2,No,College,Female"
"202,High,Medium,Yes,8,Medium,Yes,Low,Medium,Private,Positive,4,No,College,Male"
"203,Medium,Medium,Yes,5,Medium,Yes,Medium,Medium,Public,Positive,4,No,High School,Male"
"204,Medium,Medium,Yes,7,Medium,Yes,High,Medium,Private,Positive,3,No,College,Female"
"205,Medium,Low,Yes,6,Medium,No,High,Medium,Public,Neutral,3,No,High School,Male"
"206,Medium,Medium,No,8,Medium,Yes,Low,Medium,Private,Positive,3,No,College,Male"
"207,Low,Medium,Yes,4,Medium,Yes,Low,Medium,Public,Neutral,3,No,College,Male"
"208,Medium,High,Yes,8,Low,Yes,Medium,High,Public,Negative,3,Yes,High School,Male"
"209,Medium,Low,No,4,Medium,Yes,Medium,Medium,Public,Positive,5,No,High School,Male"
"210,High,Medium,Yes,7,Medium,Yes,Medium,High,Public,Positive,1,No,High School,Female"
"211,Medium,High,Yes,6,Low,Yes,Medium,Medium,Private,Positive,2,No,High School,Female"
"212,Medium,High,Yes,6,Medium,Yes,Medium,Medium,Private,Positive,3,No,High School,Male"
"213,Medium,High,No,5,High,Yes,Low,High,Public,Positive,2,No,Postgraduate,Male"
"214,Medium,Low,No,9,Low,Yes,Medium,Medium,Public,Neutral,2,Yes,High School,Female"
"215,High,Medium,Yes,5,Medium,No,Medium,Medium,Public,Neutral,4,No,High School,Male"
"216,Medium,Medium,Yes,5,High,Yes,Medium,High,Public,Neutral,3,No,High School,Female"
"217,Medium,High,Yes,10,Medium,Yes,Low,High,Private,Positive,3,No,College,Male"
"218,Medium,Low,No,7,High,Yes,Medium,Medium,Public,Positive,2,Yes,High School,Male"
"219,High,Low,No,5,Low,No,High,Medium,Private,Neutral,4,No,College,Male"
"220,Low,Medium,Yes,7,Low,No,Medium,High,Public,Neutral,3,No,High School,Female"
"221,Medium,Low,Yes,7,Low,Yes,Medium,Medium,Public,Positive,3,No,High School,Male"
"222,Medium,Medium,Yes,4,High,No,Low,Medium,Public,Positive,4,No,College,Male"
"223,High,High,Yes,6,Low,Yes,Medium,Medium,Private,Positive,5,No,High School,Male"
"224,Medium,High,No,7,High,Yes,Medium,Medium,Public,Positive,4,Yes,High School,Female"
"225,High,Medium,Yes,9,Medium,Yes,Medium,High,Private,Positive,4,Yes,College,Female"
"226,Low,High,Yes,7,Low,Yes,High,Medium,Private,Positive,3,No,College,Female"
"227,Medium,Low,No,7,Low,Yes,Medium,High,Private,Neutral,2,No,High School,Female"
"228,Medium,Medium,Yes,6,Medium,Yes,Medium,Medium,Public,Neutral,3,No,High School,Male"
"229,Medium,Medium,No,9,Low,Yes,Low,High,Public,Positive,2,No,High School,Male"
"230,High,Low,Yes,8,High,Yes,Medium,Medium,Public,Neutral,4,No,High School,Male"
"231,High,Low,Yes,8,High,Yes,Low,Medium,Public,Negative,3,No,High School,Male"
"232,Medium,Medium,No,7,Low,Yes,Low,Medium,Public,Neutral,2,No,High School,Female"
"233,Medium,High,No,5,Medium,Yes,Low,Low,Private,Positive,4,Yes,Postgraduate,Female"
"234,High,High,Yes,9,Medium,Yes,Low,High,Public,Neutral,2,No,High School,Male"
"235,Medium,Medium,No,7,High,Yes,Medium,High,Public,Neutral,3,No,College,Female"
"236,High,Low,No,7,Low,Yes,Medium,High,Public,Positive,3,No,High School,Female"
"237,High,Low,No,8,Medium,Yes,Medium,High,Public,Positive,3,No,High School,Male"
"238,Medium,Medium,No,7,Low,Yes,Medium,Medium,Private,Neutral,2,Yes,Postgraduate,Male"
"239,High,Medium,Yes,5,Medium,Yes,Medium,Medium,Public,Neutral,0,Yes,High School,Male"
"240,Medium,Low,Yes,7,Low,Yes,Medium,High,Public,Neutral,4,Yes,High School,Male"
"241,Low,Medium,No,4,Medium,Yes,Medium,Medium,Public,Neutral,6,No,,Male"
"242,Medium,Medium,Yes,7,High,Yes,High,High,Public,Neutral,4,No,High School,Male"
"243,Low,Medium,No,9,Medium,Yes,Medium,Medium,Public,Neutral,2,No,High School,Male"
"244,Medium,High,Yes,4,Medium,Yes,Medium,Medium,Private,Negative,3,No,High School,Female"
"245,High,High,No,7,Medium,Yes,Low,High,Public,Neutral,4,No,Postgraduate,Male"
"246,Low,Medium,Yes,8,Medium,Yes,Medium,Medium,Public,Positive,3,No,High School,Male"
"247,Low,Low,Yes,8,Medium,Yes,Medium,High,Public,Neutral,3,No,Postgraduate,Female"
"248,Medium,High,No,6,Medium,Yes,Low,Low,Public,Neutral,3,Yes,College,Male"
"249,Medium,Medium,No,5,High,Yes,Medium,Medium,Private,Positive,3,No,College,Male"
"250,Medium,Medium,Yes,6,Low,Yes,Medium,Medium,Public,Neutral,5,No,High School,Female"
"251,Medium,Medium,Yes,9,Low,Yes,Medium,Medium,Public,Neutral,3,No,Postgraduate,Male"
"252,Low,Medium,No,4,Low,Yes,High,Low,Public,Neutral,3,Yes,College,Female"
"253,Low,Medium,No,5,Medium,Yes,Medium,Medium,Public,Positive,2,No,High School,Male"
"254,High,Medium,Yes,6,Low,No,High,Medium,Private,Positive,3,No,Postgraduate,Male"
"255,Medium,Medium,Yes,6,High,Yes,Medium,High,Public,Neutral,4,No,High School,Male"
"256,Medium,High,Yes,7,Medium,No,Low,High,Public,Positive,3,No,High School,Male"
"257,High,Medium,No,9,High,Yes,Medium,Medium,Public,Neutral,4,No,College,Female"
"258,High,Low,Yes,5,Medium,Yes,Medium,High,Private,Positive,4,No,Postgraduate,Female"
"259,Low,Low,Yes,7,Low,Yes,Medium,Low,Private,Positive,4,No,Postgraduate,Female"
"260,Medium,Medium,Yes,7,Low,No,High,High,Public,Positive,4,No,High School,Female"
"261,High,Medium,No,6,Medium,Yes,High,Medium,Public,Neutral,3,Yes,College,Male"
"262,Medium,Medium,No,5,Low,Yes,Low,High,Private,Neutral,2,No,Postgraduate,Female"
"263,High,Medium,Yes,6,Medium,Yes,Low,Medium,Public,Positive,3,No,High School,Female"
"264,Medium,Low,Yes,6,Medium,Yes,Medium,Medium,Public,Positive,2,No,High School,Female"
"265,Low,High,Yes,8,Medium,Yes,Low,Low,Public,Neutral,2,No,College,Female"
"266,Medium,High,Yes,8,High,Yes,High,Low,Public,Neutral,3,No,College,Male"
"267,Medium,Low,Yes,5,Medium,Yes,High,High,Public,Negative,1,No,High School,Male"
"268,Medium,Medium,No,6,Medium,Yes,Medium,Medium,Public,Positive,3,No,College,Female"
"269,Low,High,No,6,Medium,Yes,High,Medium,Public,Positive,6,No,Postgraduate,Male"
"270,Low,Low,No,10,Low,Yes,High,Medium,Public,Neutral,4,Yes,High School,Male"
"271,High,High,Yes,7,Medium,Yes,High,Medium,Public,Negative,3,Yes,High School,Female"
"272,Low,Medium,Yes,5,Medium,Yes,Medium,Low,Public,Negative,2,No,Postgraduate,Male"
"273,Medium,Medium,No,6,Medium,Yes,Low,Medium,Public,Positive,3,No,High School,Male"
"274,High,Low,Yes,6,Medium,Yes,Low,Medium,Public,Neutral,2,No,College,Male"
"275,Medium,High,Yes,8,Low,Yes,Low,High,Public,Negative,5,No,College,Female"
"276,Low,Medium,Yes,8,Medium,Yes,Medium,Medium,Public,Negative,2,Yes,High School,Male"
"277,Medium,High,No,7,Medium,Yes,Low,Medium,Public,Positive,3,No,High School,Female"
"278,Medium,High,No,7,High,Yes,Low,Medium,Public,Positive,3,No,College,Male"
"279,Medium,Medium,Yes,7,Low,No,Medium,High,Private,Neutral,4,No,College,Male"
"280,High,Medium,Yes,7,Medium,Yes,Low,Medium,Public,Neutral,3,No,High School,Male"
"281,Medium,Low,No,4,Medium,Yes,High,Low,Public,Neutral,2,No,High School,Female"
"282,Medium,Low,No,7,Low,Yes,High,Medium,Public,Neutral,1,No,Postgraduate,Male"
"283,Low,High,No,6,Medium,Yes,Medium,Medium,Public,Negative,4,No,College,Female"
"284,Medium,Low,Yes,5,Low,Yes,High,Medium,Public,Positive,1,Yes,High School,Female"
"285,High,Medium,Yes,10,Medium,Yes,Medium,Medium,Private,Positive,3,No,High School,Female"
"286,Medium,Medium,No,7,Medium,No,High,Medium,Private,Neutral,3,No,High School,Female"
"287,Medium,High,No,7,Medium,Yes,High,Medium,Public,Negative,3,No,High School,Male"
"288,Low,Medium,Yes,6,Low,Yes,Low,Low,Public,Negative,3,No,College,Male"
"289,Low,High,Yes,8,High,Yes,Medium,Medium,Private,Positive,5,No,High School,Female"
