"Id,Hours_Studied,Attendance,Previous_Scores,Sleep_Hours,Tutoring_Sessions,Physical_Activity,Exam_Score,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Motivation_Level,Internet_Access,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Learning_Disabilities,Parental_Education_Level,Gender"
"41,24,68,56,8,3,1,67,High,Medium,No,Low,Yes,High,High,Public,Neutral,No,College,Male"
"42,21,84,52,6,1,2,65,Medium,Medium,Yes,Low,Yes,Medium,High,Public,Neutral,Yes,College,Female"
"43,19,63,94,7,1,3,64,Low,High,No,Medium,Yes,Medium,Medium,Private,Positive,No,High School,Male"
"44,18,94,82,7,3,2,70,Medium,High,Yes,Medium,Yes,Medium,Medium,Private,Negative,Yes,College,Male"
"45,11,98,82,9,1,3,68,Medium,Medium,Yes,Low,Yes,Medium,Medium,Private,Positive,No,Postgraduate,Male"
"46,16,70,98,8,2,3,65,Medium,Medium,Yes,Medium,Yes,Medium,Medium,Public,Positive,No,High School,Male"
"47,17,78,88,6,1,3,68,Medium,Medium,Yes,Medium,Yes,Medium,High,Private,Positive,No,College,Female"
"48,26,61,70,6,2,3,64,Medium,Low,Yes,Medium,Yes,Low,Medium,Public,Positive,No,High School,Female"
"49,22,86,72,7,3,2,68,Low,Medium,Yes,Low,Yes,Low,High,Public,Positive,No,High School,Male"
"50,9,77,57,5,2,3,63,Medium,Medium,No,Medium,Yes,Medium,High,Public,Neutral,No,High School,Male"
"51,22,71,65,7,1,4,64,Low,Medium,Yes,Low,Yes,Medium,Low,Public,Positive,No,College,Male"
"52,18,68,72,7,0,3,64,High,Medium,No,Medium,Yes,Medium,Medium,Public,Neutral,No,College,Male"
"53,16,86,63,8,2,4,67,Low,Medium,Yes,Medium,Yes,Medium,Medium,Public,Positive,No,High School,Male"
"54,24,77,96,8,0,3,67,High,Low,No,Medium,Yes,Medium,Medium,Public,Neutral,No,High School,Female"
"55,26,67,51,7,2,4,66,Medium,High,Yes,Low,Yes,High,High,Private,Neutral,Yes,Postgraduate,Female"
"56,26,88,79,5,1,4,72,Medium,High,Yes,Medium,Yes,Low,High,Private,Positive,No,College,Male"
"57,15,83,89,5,1,2,65,Medium,High,No,Low,No,Medium,High,Public,Neutral,Yes,High School,Female"
"58,18,94,87,6,1,4,71,Medium,Medium,Yes,High,Yes,Medium,Medium,Public,Positive,No,High School,Male"
"59,22,65,82,8,2,1,66,High,Low,No,Medium,Yes,Medium,High,Public,Positive,No,Postgraduate,Female"
"60,26,91,71,8,0,3,68,Medium,Low,Yes,Medium,Yes,Low,Medium,Private,Neutral,No,High School,Male"
"61,17,87,96,7,1,5,70,Medium,Medium,No,Medium,Yes,High,Medium,Public,Negative,No,Postgraduate,Female"
"62,19,65,66,10,0,3,62,Medium,Medium,Yes,Low,Yes,Low,Medium,Public,Positive,No,High School,Male"
"63,13,88,88,9,2,4,68,Low,High,Yes,High,Yes,Low,High,Private,Negative,No,Postgraduate,Male"
"64,13,78,96,9,2,3,67,Medium,High,Yes,High,Yes,Low,Medium,Public,Neutral,No,College,Male"
"65,25,98,56,8,0,3,71,Low,High,Yes,Medium,No,Medium,High,Private,Neutral,No,Postgraduate,Male"
"66,28,66,97,8,0,2,68,Medium,High,Yes,Medium,Yes,Medium,Medium,Public,Neutral,No,High School,Male"
"67,20,86,89,8,1,3,69,Medium,Medium,Yes,Medium,Yes,Low,Medium,Public,Negative,No,Postgraduate,Male"
"68,26,75,81,4,3,2,70,Low,High,Yes,High,Yes,Medium,High,Private,Positive,No,High School,Male"
"69,22,98,69,5,1,4,69,Medium,High,No,Low,No,Low,High,Public,Negative,No,High School,Female"
"70,16,73,95,7,1,4,65,Medium,Medium,No,Medium,Yes,Low,Medium,Public,Negative,No,College,Male"
"71,22,98,52,7,3,3,70,Medium,Low,Yes,Medium,No,Medium,Medium,Public,Positive,No,College,Female"
"72,29,96,72,7,1,3,71,Medium,Low,Yes,Medium,Yes,Low,Medium,Public,Positive,No,High School,Male"
"73,20,71,88,7,1,4,65,Medium,Medium,Yes,Medium,Yes,Low,Low,Public,Neutral,No,College,Female"
"74,29,92,91,4,2,1,72,Low,Medium,No,Medium,Yes,Medium,Medium,Public,Negative,No,Postgraduate,Female"
"75,4,100,60,8,0,4,69,High,High,Yes,High,Yes,Medium,High,Private,Positive,No,College,Male"
"76,25,70,52,7,1,3,66,Medium,Medium,No,Medium,Yes,Medium,Medium,Public,Positive,No,Postgraduate,Female"
"77,21,77,90,7,4,3,68,Low,Medium,Yes,Medium,Yes,Medium,Medium,Private,Neutral,No,Postgraduate,Male"
"78,18,81,71,8,0,3,65,High,Low,Yes,Medium,Yes,Medium,Medium,Public,Neutral,No,High School,Female"
"79,21,72,57,5,1,5,64,Medium,Medium,Yes,Medium,Yes,High,Medium,Public,Neutral,Yes,College,Male"
"80,8,61,54,7,1,3,60,Medium,Medium,Yes,Medium,Yes,High,Medium,Public,Positive,No,College,Male"
"81,19,69,82,7,1,2,65,Medium,High,Yes,High,Yes,Low,Medium,Public,Negative,No,High School,Male"
"82,22,71,79,6,1,3,66,High,Medium,No,High,Yes,Low,Low,Public,Positive,No,High School,Male"
"83,29,78,93,4,5,3,74,High,High,Yes,Low,Yes,Medium,High,Public,Neutral,No,College,Male"
"84,17,67,52,5,2,3,62,Medium,Medium,Yes,High,Yes,Medium,Medium,Private,Negative,No,High School,Female"
"85,15,95,93,7,2,4,70,Medium,Medium,No,Medium,Yes,Low,Medium,Public,Positive,No,College,Male"
"86,17,88,94,7,0,3,69,Medium,High,Yes,Low,Yes,Medium,Medium,Public,Neutral,No,High School,Male"
"87,25,63,72,7,3,4,67,Medium,High,Yes,Medium,Yes,Medium,High,Private,Negative,No,College,Male"
"88,22,86,54,6,2,0,64,Low,Low,No,Medium,Yes,Medium,Medium,Public,Neutral,No,High School,Male"
"89,17,86,97,5,3,3,71,Medium,High,No,High,Yes,High,Medium,Public,Neutral,No,College,Male"
"90,23,98,54,7,0,3,68,Medium,Low,Yes,Low,Yes,Medium,Medium,Public,Negative,No,College,Female"
"91,21,60,80,7,0,4,64,High,Medium,No,Medium,Yes,Medium,High,Public,Neutral,Yes,College,Male"
"92,26,70,75,8,1,4,63,Medium,Low,Yes,Medium,Yes,Medium,Low,Private,Neutral,Yes,High School,Female"
"93,16,97,92,6,0,4,71,Medium,Medium,Yes,Low,Yes,High,Medium,Private,Positive,No,College,Male"
"94,18,97,75,4,0,3,69,High,Medium,Yes,Low,Yes,Low,Medium,Public,Positive,No,High School,Male"
"95,18,89,73,4,3,2,100,High,Medium,Yes,Medium,Yes,High,Medium,Private,Positive,No,College,Female"
"96,11,91,94,6,3,3,68,Medium,Medium,No,Medium,Yes,Medium,Medium,Public,Neutral,No,College,Male"
"97,22,64,98,7,1,3,62,Low,Medium,No,Low,No,Medium,Medium,Public,Negative,No,High School,Male"
"98,22,81,77,7,2,3,68,Medium,Medium,Yes,Low,Yes,Medium,Medium,Public,Positive,No,Postgraduate,Female"
"99,20,69,73,6,2,3,66,High,High,Yes,Medium,Yes,Low,Medium,Private,Positive,No,High School,Male"
"100,19,67,92,5,0,3,64,Low,Medium,No,High,Yes,Medium,Medium,Public,Positive,No,College,Male"
"101,12,92,92,4,2,3,67,Medium,Medium,No,High,Yes,Medium,High,Public,Neutral,Yes,High School,Male"
"102,17,65,66,8,1,4,65,Medium,High,Yes,Medium,Yes,High,High,Public,Neutral,Yes,Postgraduate,Female"
"103,18,79,79,7,0,3,65,Medium,Medium,Yes,Medium,Yes,Low,High,Private,Neutral,No,College,Male"
"104,15,98,58,6,0,3,69,High,Medium,No,High,Yes,Low,High,Public,Positive,No,College,Male"
"105,19,67,82,5,1,3,63,Medium,Medium,No,High,Yes,Low,Low,Private,Negative,No,High School,Male"
"106,22,99,92,6,3,4,72,Medium,Low,Yes,Low,Yes,Medium,Medium,Public,Negative,No,Postgraduate,Male"
"107,31,100,59,7,2,5,76,Medium,Medium,No,Medium,Yes,High,High,Public,Positive,No,Postgraduate,Male"
"108,21,82,66,7,3,3,69,Medium,High,Yes,High,Yes,Low,Medium,Public,Positive,Yes,College,Female"
"109,22,67,72,7,3,2,67,Medium,Medium,Yes,High,Yes,Low,High,Public,Positive,No,Postgraduate,Female"
"110,20,73,92,9,2,3,69,High,Medium,Yes,Medium,Yes,Medium,High,Public,Positive,No,College,Male"
"111,8,77,87,6,0,2,63,High,Medium,Yes,Medium,Yes,Low,Medium,Public,Neutral,No,High School,Male"
"112,20,72,66,9,3,3,67,Medium,Medium,No,Medium,Yes,Low,High,Private,Positive,No,Postgraduate,Male"
"113,20,71,62,7,2,5,66,Low,High,Yes,High,Yes,Medium,Medium,Public,Negative,No,College,Male"
"114,35,99,85,7,2,2,79,High,High,Yes,Low,Yes,Medium,High,Private,Neutral,No,Postgraduate,Female"
"115,19,66,74,8,1,3,64,Medium,Medium,No,Medium,Yes,High,Medium,Public,Neutral,No,High School,Female"
"116,22,89,80,6,1,3,73,High,High,Yes,Medium,Yes,High,High,Public,Positive,No,High School,Female"
"117,20,60,82,7,2,4,63,Low,High,No,High,Yes,Low,High,Public,Positive,Yes,High School,Male"
"118,13,84,78,5,1,2,65,Medium,Medium,No,Medium,Yes,Low,High,Public,Positive,No,High School,Male"
"119,27,97,81,8,0,5,73,Low,High,Yes,Medium,Yes,High,Medium,Public,Positive,No,High School,Female"
"120,25,72,94,8,2,4,70,High,High,Yes,Low,Yes,Low,Medium,Private,Positive,No,College,Female"
"121,25,67,93,9,2,3,68,High,Medium,No,High,Yes,Low,High,Public,Positive,Yes,High School,Female"
"122,15,86,57,7,1,3,65,Medium,Medium,Yes,Medium,Yes,Medium,Medium,Public,Negative,No,College,Male"
"123,28,89,79,9,0,1,71,Low,High,Yes,High,Yes,Low,Medium,Private,Positive,No,College,Female"
"124,12,88,72,6,2,2,64,Low,Medium,No,Low,Yes,Medium,Medium,Public,Positive,No,College,Male"
"125,24,73,64,8,4,3,68,Medium,High,Yes,Medium,Yes,High,Medium,Private,Neutral,Yes,College,Male"
"126,33,70,82,6,1,4,69,Medium,Medium,Yes,Low,Yes,Low,High,Public,Neutral,No,College,Male"
"127,14,98,76,7,0,4,69,Medium,Medium,No,Medium,Yes,Medium,High,Private,Positive,No,College,Female"
"128,17,97,89,8,1,4,69,Medium,Medium,No,Medium,Yes,Low,,Public,Neutral,No,High School,Male"
"129,21,78,55,10,1,2,67,Medium,Medium,Yes,Medium,Yes,High,Low,Private,Positive,No,College,Male"
"130,17,94,65,8,4,6,68,Low,Medium,Yes,Low,Yes,Medium,Medium,Public,Neutral,No,High School,Female"
"131,11,78,51,8,2,3,64,Medium,High,Yes,Medium,Yes,Low,Medium,Public,Neutral,No,Postgraduate,Male"
"132,20,77,87,6,0,4,66,Medium,Medium,No,Low,Yes,Low,High,Public,Positive,No,High School,Female"
"133,14,66,96,7,3,3,63,High,Low,No,Medium,Yes,Low,High,Public,Negative,No,High School,Male"
"134,23,77,79,7,0,2,66,Medium,Medium,Yes,Medium,Yes,Low,High,Public,Neutral,No,High School,Male"
"135,14,81,81,9,1,3,66,Medium,Medium,No,Medium,Yes,Low,High,Private,Negative,No,Postgraduate,Female"
"136,29,61,52,7,3,3,67,Medium,High,Yes,Low,Yes,Low,Medium,Private,Positive,No,College,Female"
"137,15,78,75,9,1,1,65,High,High,No,Low,Yes,Low,Medium,Public,Negative,No,High School,Male"
"138,18,91,76,5,1,3,68,Low,Medium,Yes,Medium,Yes,Medium,Medium,Public,Neutral,No,High School,Female"
"139,25,87,52,9,1,2,68,Medium,Low,No,High,Yes,Low,High,Private,Positive,No,High School,Male"
"140,13,85,89,6,0,1,65,High,Medium,No,Medium,Yes,High,Medium,Private,Neutral,Yes,High School,Male"
"141,21,96,64,8,2,0,71,Medium,Medium,No,High,Yes,Medium,High,Public,Neutral,No,College,Male"
"142,28,61,86,6,1,3,65,Medium,High,No,High,Yes,Low,Medium,Private,Negative,Yes,Postgraduate,Male"
"143,10,82,70,8,3,1,64,Medium,Low,No,Medium,Yes,Low,High,Public,Positive,Yes,Postgraduate,Female"
"144,21,91,100,6,0,2,72,High,Medium,No,Medium,Yes,High,Medium,Private,Neutral,No,Postgraduate,Female"
"145,22,82,61,9,2,2,65,Medium,Medium,No,Medium,Yes,Low,Medium,Public,Negative,Yes,High School,Female"
"146,25,73,53,8,0,5,66,Medium,High,No,High,No,Low,High,Private,Negative,No,Postgraduate,Female"
"147,13,65,99,6,0,4,61,Low,High,No,Medium,Yes,Low,Medium,Private,Negative,No,High School,Male"
"148,12,96,62,8,2,3,68,Low,High,Yes,Medium,Yes,Medium,High,Public,Negative,No,College,Female"
"149,23,79,82,8,3,3,69,High,High,Yes,Low,Yes,Medium,Medium,Public,Negative,Yes,Postgraduate,Female"
"150,22,95,69,6,1,3,72,Medium,High,Yes,Medium,Yes,Low,Medium,Public,Positive,No,College,Female"
"151,22,83,82,5,2,3,71,Medium,High,Yes,Medium,Yes,Low,High,Public,Positive,No,Postgraduate,Female"
"152,22,87,80,5,2,3,70,High,High,No,Low,Yes,Low,High,Public,Negative,No,High School,Female"
"153,16,92,85,5,1,2,68,Medium,High,Yes,Low,Yes,Low,Medium,Public,Neutral,No,High School,Male"
"154,21,86,51,5,2,2,67,Low,Medium,Yes,Medium,Yes,Low,High,Public,Positive,No,High School,Female"
"155,22,76,92,8,1,4,68,Medium,Medium,Yes,Medium,Yes,Low,High,Public,Neutral,No,High School,Female"
"156,16,81,74,8,3,2,68,Medium,Medium,Yes,Medium,Yes,Medium,Medium,Public,Positive,No,Postgraduate,Female"
"157,31,92,76,4,2,4,72,Medium,Medium,Yes,Medium,Yes,Medium,High,Public,Positive,Yes,High School,Male"
"158,23,75,71,6,0,2,65,Low,High,No,Low,Yes,Medium,Medium,Public,Neutral,No,College,Male"
"159,13,76,99,5,2,4,66,Medium,High,No,Low,Yes,Medium,Medium,Private,Positive,No,High School,Female"
"160,24,64,90,8,0,3,65,Medium,Medium,Yes,High,Yes,Low,High,Public,Negative,No,High School,Male"
"161,14,97,66,6,2,3,67,Medium,Medium,Yes,Medium,Yes,Medium,Medium,Public,Negative,Yes,College,Female"
"162,25,64,89,5,2,4,66,Medium,High,No,Low,Yes,Medium,Medium,Public,Neutral,No,College,Male"
"163,27,86,72,7,1,4,69,Medium,Medium,No,Low,Yes,Medium,High,Public,Positive,No,High School,Male"
"164,15,77,94,8,0,3,66,Medium,Medium,Yes,Low,Yes,High,High,Public,Positive,No,College,Male"
"165,26,76,52,6,4,3,69,Medium,High,Yes,Medium,Yes,High,Low,Public,Neutral,No,High School,Male"
"166,22,87,68,7,0,2,67,High,Low,Yes,Medium,No,Low,Medium,Public,Neutral,No,High School,Male"
"167,25,63,71,6,1,3,66,High,Medium,Yes,Medium,Yes,Medium,Low,Private,Positive,No,High School,Male"
"168,31,84,87,9,2,3,71,Medium,Medium,Yes,Medium,Yes,Low,Medium,Private,Neutral,No,College,Male"
"169,19,91,59,6,5,4,70,High,Low,No,Medium,Yes,Medium,High,Public,Neutral,No,College,Male"
"170,15,93,64,6,2,4,71,High,Medium,No,Medium,Yes,Medium,High,Public,Positive,No,Postgraduate,Male"
"171,15,67,86,7,1,3,66,Medium,Medium,Yes,High,Yes,High,Medium,Private,Positive,No,Postgraduate,Male"
"172,15,96,54,7,3,2,67,Medium,Medium,No,High,No,Medium,High,Public,Negative,No,High School,Male"
"173,20,86,60,8,1,4,66,High,Low,No,Medium,Yes,Medium,Medium,Public,Neutral,Yes,College,Female"
"174,22,95,88,9,0,2,72,Medium,High,No,Low,Yes,Low,High,Public,Positive,No,Postgraduate,Male"
"175,22,79,94,9,1,3,68,Medium,Medium,No,Medium,Yes,Medium,Medium,Public,Positive,No,High School,Male"
"176,25,82,86,6,3,3,69,Medium,Medium,No,Medium,No,Low,High,Public,Positive,No,High School,Female"
"177,20,97,76,7,2,3,71,Medium,Medium,Yes,Low,Yes,Low,Low,Private,Positive,No,Postgraduate,Male"
"178,29,96,55,9,0,2,70,Medium,Medium,Yes,Low,No,Medium,Medium,Public,Neutral,No,Postgraduate,Female"
"179,18,78,91,9,2,4,67,Medium,Medium,No,High,Yes,High,Low,Public,Neutral,No,College,Female"
"180,36,71,56,6,2,2,69,Medium,Medium,Yes,Medium,Yes,High,Medium,Public,Positive,No,High School,Male"
"181,24,76,69,8,2,1,65,Low,High,No,Low,Yes,Medium,Medium,Public,Neutral,No,High School,Male"
"182,15,76,53,8,1,4,65,High,High,No,Medium,Yes,Low,Medium,Public,Neutral,No,College,Male"
"183,14,71,85,8,2,4,64,Medium,Medium,Yes,Low,Yes,Medium,High,Public,Neutral,No,High School,Male"
"184,23,71,75,9,1,2,63,Low,Low,Yes,Low,Yes,Low,Medium,Public,Negative,No,College,Male"
"185,19,94,95,5,3,2,69,Low,Medium,Yes,Medium,Yes,Low,Low,Public,Positive,No,High School,Male"
"186,24,63,57,6,1,5,64,Medium,Low,Yes,Medium,Yes,Low,High,Private,Neutral,No,College,Female"
"187,23,87,91,8,0,3,72,High,High,Yes,High,Yes,High,Medium,Private,Positive,No,High School,Male"
"188,20,67,76,7,0,4,63,Low,Medium,Yes,Medium,Yes,Medium,Medium,Public,Neutral,No,High School,Male"
"189,15,74,68,4,3,3,64,Low,High,Yes,Low,Yes,Low,Medium,Public,Positive,No,High School,Female"
"190,11,62,82,5,3,4,64,Medium,High,Yes,Medium,Yes,High,Medium,Private,Neutral,No,College,Male"
"191,17,71,90,8,5,1,67,Medium,Medium,Yes,Medium,Yes,Medium,Medium,Public,Positive,No,Postgraduate,Male"
"192,25,91,72,8,2,0,71,Medium,Medium,No,Low,Yes,Medium,High,Public,Positive,No,Postgraduate,Male"
"193,21,95,62,5,1,4,70,Medium,Medium,No,High,Yes,Medium,Low,Public,Positive,No,High School,Male"
"194,13,69,96,9,0,4,61,Medium,Low,Yes,Low,Yes,High,Medium,Private,Neutral,No,High School,Female"
"195,21,79,66,7,2,4,67,Medium,High,Yes,Low,Yes,Low,Medium,Public,Negative,No,College,Male"
"196,22,79,100,5,4,3,72,High,Medium,No,Medium,Yes,High,High,Public,Negative,No,College,Male"
"197,15,95,88,6,1,5,66,Low,Low,Yes,Low,Yes,Low,Medium,Public,Negative,No,High School,Male"
"198,21,91,84,5,1,2,70,Medium,High,Yes,Medium,Yes,High,Low,Public,Neutral,No,High School,Male"
"199,20,81,51,6,3,4,67,High,Medium,Yes,High,No,Medium,Medium,Public,Neutral,Yes,High School,Male"
"200,13,87,72,4,2,3,67,High,Low,Yes,Medium,Yes,Medium,High,Public,Neutral,No,High School,Female"
"201,22,94,75,7,2,2,71,Low,Medium,Yes,High,Yes,High,Medium,Public,Neutral,No,College,Female"
"202,23,60,69,8,1,4,66,High,Medium,Yes,Medium,Yes,Low,Medium,Private,Positive,No,College,Male"
"203,26,76,57,5,1,4,68,Medium,Medium,Yes,Medium,Yes,Medium,Medium,Public,Positive,No,High School,Male"
"204,26,96,68,7,3,3,74,Medium,Medium,Yes,Medium,Yes,High,Medium,Private,Positive,No,College,Female"
"205,12,90,54,6,1,3,64,Medium,Low,Yes,Medium,No,High,Medium,Public,Neutral,No,High School,Male"
"206,14,82,65,8,1,3,65,Medium,Medium,No,Medium,Yes,Low,Medium,Private,Positive,No,College,Male"
"207,23,81,54,4,1,3,66,Low,Medium,Yes,Medium,Yes,Low,Medium,Public,Neutral,No,College,Male"
"208,23,74,88,8,0,3,66,Medium,High,Yes,Low,Yes,Medium,High,Public,Negative,Yes,High School,Male"
"209,23,81,84,4,2,5,68,Medium,Low,No,Medium,Yes,Medium,Medium,Public,Positive,No,High School,Male"
"210,43,86,97,7,2,1,78,High,Medium,Yes,Medium,Yes,Medium,High,Public,Positive,No,High School,Female"
"211,23,77,69,6,1,2,67,Medium,High,Yes,Low,Yes,Medium,Medium,Private,Positive,No,High School,Female"
"212,27,89,89,6,3,3,74,Medium,High,Yes,Medium,Yes,Medium,Medium,Private,Positive,No,High School,Male"
"213,26,94,79,5,1,2,74,Medium,High,No,High,Yes,Low,High,Public,Positive,No,Postgraduate,Male"
"214,24,66,82,9,1,2,62,Medium,Low,No,Low,Yes,Medium,Medium,Public,Neutral,Yes,High School,Female"
"215,18,78,77,5,2,4,66,High,Medium,Yes,Medium,No,Medium,Medium,Public,Neutral,No,High School,Male"
"216,25,76,89,5,3,3,69,Medium,Medium,Yes,High,Yes,Medium,High,Public,Neutral,No,High School,Female"
"217,15,87,52,10,2,3,68,Medium,High,Yes,Medium,Yes,Low,High,Private,Positive,No,College,Male"
"218,19,70,54,7,0,2,89,Medium,Low,No,High,Yes,Medium,Medium,Public,Positive,Yes,High School,Male"
"219,17,86,55,5,2,4,66,High,Low,No,Low,No,High,Medium,Private,Neutral,No,College,Male"
"220,20,95,64,7,2,3,68,Low,Medium,Yes,Low,No,Medium,High,Public,Neutral,No,High School,Female"
"221,34,77,80,7,0,3,69,Medium,Low,Yes,Low,Yes,Medium,Medium,Public,Positive,No,High School,Male"
"222,9,96,82,4,0,4,67,Medium,Medium,Yes,High,No,Low,Medium,Public,Positive,No,College,Male"
"223,24,100,86,6,2,5,75,High,High,Yes,Low,Yes,Medium,Medium,Private,Positive,No,High School,Male"
"224,10,64,64,7,0,4,60,Medium,High,No,High,Yes,Medium,Medium,Public,Positive,Yes,High School,Female"
"225,17,69,83,9,2,4,66,High,Medium,Yes,Medium,Yes,Medium,High,Private,Positive,Yes,College,Female"
"226,27,98,56,7,1,3,73,Low,High,Yes,Low,Yes,High,Medium,Private,Positive,No,College,Female"
"227,20,98,50,7,1,2,68,Medium,Low,No,Low,Yes,Medium,High,Private,Neutral,No,High School,Female"
"228,14,64,85,6,0,3,62,Medium,Medium,Yes,Medium,Yes,Medium,Medium,Public,Neutral,No,High School,Male"
"229,16,61,86,9,2,2,62,Medium,Medium,No,Low,Yes,Low,High,Public,Positive,No,High School,Male"
"230,24,66,81,8,1,4,65,High,Low,Yes,High,Yes,Medium,Medium,Public,Neutral,No,High School,Male"
"231,16,100,63,8,2,3,69,High,Low,Yes,High,Yes,Low,Medium,Public,Negative,No,High School,Male"
"232,21,67,96,7,3,2,64,Medium,Medium,No,Low,Yes,Low,Medium,Public,Neutral,No,High School,Female"
"233,20,80,94,5,0,4,67,Medium,High,No,Medium,Yes,Low,Low,Private,Positive,Yes,Postgraduate,Female"
"234,16,94,76,9,0,2,70,High,High,Yes,Medium,Yes,Low,High,Public,Neutral,No,High School,Male"
"235,33,61,99,7,2,3,70,Medium,Medium,No,High,Yes,Medium,High,Public,Neutral,No,College,Female"
"236,24,84,65,7,3,3,69,High,Low,No,Low,Yes,Medium,High,Public,Positive,No,High School,Female"
"237,8,71,75,8,0,3,61,High,Low,No,Medium,Yes,Medium,High,Public,Positive,No,High School,Male"
