"Id,Hours_Studied,Attendance,Previous_Scores,Sleep_Hours,Tutoring_Sessions,Physical_Activity,Exam_Score"
"81,19,69,82,7,1,2,65"
"82,22,71,79,6,1,3,66"
"83,29,78,93,4,5,3,74"
"84,17,67,52,5,2,3,62"
"85,15,95,93,7,2,4,70"
"86,17,88,94,7,0,3,69"
"87,25,63,72,7,3,4,67"
"88,22,86,54,6,2,0,64"
"89,17,86,97,5,3,3,71"
"90,23,98,54,7,0,3,68"
"91,21,60,80,7,0,4,64"
"92,26,70,75,8,1,4,63"
"93,16,97,92,6,0,4,71"
"94,18,97,75,4,0,3,69"
"95,18,89,73,4,3,2,100"
"96,11,91,94,6,3,3,68"
"97,22,64,98,7,1,3,62"
"98,22,81,77,7,2,3,68"
"99,20,69,73,6,2,3,66"
"100,19,67,92,5,0,3,64"
"101,12,92,92,4,2,3,67"
"102,17,65,66,8,1,4,65"
"103,18,79,79,7,0,3,65"
"104,15,98,58,6,0,3,69"
"105,19,67,82,5,1,3,63"
"106,22,99,92,6,3,4,72"
"107,31,100,59,7,2,5,76"
"108,21,82,66,7,3,3,69"
"109,22,67,72,7,3,2,67"
"110,20,73,92,9,2,3,69"
"111,8,77,87,6,0,2,63"
"112,20,72,66,9,3,3,67"
"113,20,71,62,7,2,5,66"
"114,35,99,85,7,2,2,79"
"115,19,66,74,8,1,3,64"
"116,22,89,80,6,1,3,73"
"117,20,60,82,7,2,4,63"
"118,13,84,78,5,1,2,65"
"119,27,97,81,8,0,5,73"
"120,25,72,94,8,2,4,70"
"121,25,67,93,9,2,3,68"
"122,15,86,57,7,1,3,65"
"123,28,89,79,9,0,1,71"
"124,12,88,72,6,2,2,64"
"125,24,73,64,8,4,3,68"
"126,33,70,82,6,1,4,69"
"127,14,98,76,7,0,4,69"
"128,17,97,89,8,1,4,69"
"129,21,78,55,10,1,2,67"
"130,17,94,65,8,4,6,68"
"131,11,78,51,8,2,3,64"
"132,20,77,87,6,0,4,66"
"133,14,66,96,7,3,3,63"
"134,23,77,79,7,0,2,66"
"135,14,81,81,9,1,3,66"
"136,29,61,52,7,3,3,67"
"137,15,78,75,9,1,1,65"
"138,18,91,76,5,1,3,68"
"139,25,87,52,9,1,2,68"
"140,13,85,89,6,0,1,65"
"141,21,96,64,8,2,0,71"
"142,28,61,86,6,1,3,65"
"143,10,82,70,8,3,1,64"
"144,21,91,100,6,0,2,72"
"145,22,82,61,9,2,2,65"
"146,25,73,53,8,0,5,66"
"147,13,65,99,6,0,4,61"
"148,12,96,62,8,2,3,68"
"149,23,79,82,8,3,3,69"
"150,22,95,69,6,1,3,72"
"151,22,83,82,5,2,3,71"
"152,22,87,80,5,2,3,70"
"153,16,92,85,5,1,2,68"
"154,21,86,51,5,2,2,67"
"155,22,76,92,8,1,4,68"
"156,16,81,74,8,3,2,68"
"157,31,92,76,4,2,4,72"
"158,23,75,71,6,0,2,65"
"159,13,76,99,5,2,4,66"
"160,24,64,90,8,0,3,65"
"161,14,97,66,6,2,3,67"
"162,25,64,89,5,2,4,66"
"163,27,86,72,7,1,4,69"
"164,15,77,94,8,0,3,66"
"165,26,76,52,6,4,3,69"
"166,22,87,68,7,0,2,67"
"167,25,63,71,6,1,3,66"
"168,31,84,87,9,2,3,71"
"169,19,91,59,6,5,4,70"
"170,15,93,64,6,2,4,71"
"171,15,67,86,7,1,3,66"
"172,15,96,54,7,3,2,67"
"173,20,86,60,8,1,4,66"
"174,22,95,88,9,0,2,72"
"175,22,79,94,9,1,3,68"
"176,25,82,86,6,3,3,69"
"177,20,97,76,7,2,3,71"
"178,29,96,55,9,0,2,70"
"179,18,78,91,9,2,4,67"
"180,36,71,56,6,2,2,69"
"181,24,76,69,8,2,1,65"
"182,15,76,53,8,1,4,65"
"183,14,71,85,8,2,4,64"
"184,23,71,75,9,1,2,63"
"185,19,94,95,5,3,2,69"
"186,24,63,57,6,1,5,64"
"187,23,87,91,8,0,3,72"
"188,20,67,76,7,0,4,63"
"189,15,74,68,4,3,3,64"
"190,11,62,82,5,3,4,64"
"191,17,71,90,8,5,1,67"
"192,25,91,72,8,2,0,71"
"193,21,95,62,5,1,4,70"
"194,13,69,96,9,0,4,61"
"195,21,79,66,7,2,4,67"
"196,22,79,100,5,4,3,72"
"197,15,95,88,6,1,5,66"
"198,21,91,84,5,1,2,70"
"199,20,81,51,6,3,4,67"
"200,13,87,72,4,2,3,67"
"201,22,94,75,7,2,2,71"
"202,23,60,69,8,1,4,66"
"203,26,76,57,5,1,4,68"
"204,26,96,68,7,3,3,74"
"205,12,90,54,6,1,3,64"
"206,14,82,65,8,1,3,65"
"207,23,81,54,4,1,3,66"
"208,23,74,88,8,0,3,66"
"209,23,81,84,4,2,5,68"
"210,43,86,97,7,2,1,78"
"211,23,77,69,6,1,2,67"
"212,27,89,89,6,3,3,74"
"213,26,94,79,5,1,2,74"
"214,24,66,82,9,1,2,62"
"215,18,78,77,5,2,4,66"
"216,25,76,89,5,3,3,69"
"217,15,87,52,10,2,3,68"
"218,19,70,54,7,0,2,89"
"219,17,86,55,5,2,4,66"
"220,20,95,64,7,2,3,68"
"221,34,77,80,7,0,3,69"
"222,9,96,82,4,0,4,67"
"223,24,100,86,6,2,5,75"
"224,10,64,64,7,0,4,60"
"225,17,69,83,9,2,4,66"
"226,27,98,56,7,1,3,73"
"227,20,98,50,7,1,2,68"
"228,14,64,85,6,0,3,62"
"229,16,61,86,9,2,2,62"
"230,24,66,81,8,1,4,65"
"231,16,100,63,8,2,3,69"
"232,21,67,96,7,3,2,64"
"233,20,80,94,5,0,4,67"
"234,16,94,76,9,0,2,70"
"235,33,61,99,7,2,3,70"
"236,24,84,65,7,3,3,69"
"237,8,71,75,8,0,3,61"
"238,21,94,96,7,0,2,69"
"239,16,71,73,5,1,0,63"
"240,25,87,74,7,0,4,67"
"241,15,87,54,4,1,6,65"
"242,19,69,61,7,3,4,66"
"243,23,61,58,9,4,2,63"
"244,25,76,78,4,2,3,68"
"245,13,72,66,7,0,4,65"
"246,18,92,54,8,1,3,67"
"247,17,92,75,8,2,3,68"
"248,16,78,83,6,0,3,64"
"249,31,84,87,5,0,3,71"
"250,22,84,92,6,0,5,69"
"251,12,93,74,9,1,3,67"
"252,26,77,70,4,2,3,65"
"253,33,71,84,5,1,2,68"
"254,26,71,51,6,1,3,67"
"255,11,81,82,6,3,4,67"
"256,17,78,70,7,2,3,66"
"257,28,78,73,9,2,4,70"
"258,16,64,65,5,3,4,65"
"259,23,89,56,7,4,4,69"
"260,25,69,70,7,1,4,65"
"261,14,68,65,6,1,3,63"
"262,20,77,98,5,2,2,67"
"263,1,69,97,6,1,3,61"
"264,14,83,82,6,0,2,65"
"265,18,75,95,8,1,2,66"
"266,13,78,88,8,0,3,66"
"267,30,81,67,5,1,1,69"
"268,11,68,80,6,2,3,63"
"269,17,66,61,6,1,6,65"
"270,21,95,84,10,0,4,67"
"271,29,77,52,7,2,3,69"
"272,11,76,92,5,4,2,65"
"273,27,61,79,6,1,3,65"
"274,20,80,53,6,0,2,65"
"275,14,82,94,8,2,5,67"
"276,23,82,94,8,1,2,66"
"277,21,88,93,7,4,3,72"
"278,16,67,89,7,3,3,66"
"279,20,70,84,7,2,4,65"
"280,18,92,70,7,1,3,69"
"281,21,98,57,4,2,2,68"
"282,24,65,64,7,1,1,64"
"283,30,80,67,6,3,4,69"
"284,13,69,68,5,0,1,59"
"285,33,62,78,10,0,3,68"
"286,8,73,60,7,0,3,60"
"287,19,66,59,7,1,3,62"
"288,24,88,86,6,0,3,67"
"289,22,81,50,8,4,5,68"
"290,16,66,57,5,3,3,64"
"291,19,60,72,7,3,3,65"
"292,17,92,57,6,2,2,65"
"293,16,67,98,8,0,3,63"
"294,25,84,84,6,2,3,70"
"295,22,73,72,9,3,3,66"
"296,16,83,56,7,4,3,68"
"297,25,73,69,8,3,3,66"
"298,22,63,83,8,3,1,63"
"299,25,69,98,9,1,3,66"
"300,24,68,74,6,1,3,65"
"301,15,77,85,8,1,2,66"
"302,17,86,60,4,2,3,67"
"303,24,71,81,7,0,3,66"
"304,24,60,62,6,4,3,63"
"305,20,81,60,5,3,4,66"
"306,21,84,75,6,1,3,67"
"307,28,99,61,6,1,3,71"
"308,16,84,86,7,1,2,67"
"309,23,79,97,6,1,4,69"
"310,19,83,70,7,2,4,67"
"311,19,97,66,6,2,2,72"
"312,27,93,59,6,2,4,70"
"313,25,73,70,7,0,4,67"
"314,25,69,78,7,0,3,64"
"315,28,71,69,8,1,1,67"
"316,20,80,81,8,3,4,69"
"317,24,90,83,7,0,3,68"
"318,18,80,55,8,2,3,63"
"319,22,63,85,7,4,3,68"
"320,19,89,95,7,0,3,70"
"321,21,92,51,8,0,2,66"
"322,24,72,78,6,0,6,68"
"323,15,87,80,4,0,3,67"
"324,33,77,85,5,0,5,69"
"325,14,96,69,9,0,3,66"
"326,13,94,91,7,3,3,68"
"327,27,81,77,7,2,2,69"
"328,25,88,70,7,1,3,70"
"329,24,95,86,8,1,3,74"
"330,24,80,96,7,0,0,70"
"331,20,73,91,7,1,2,66"
"332,15,90,97,8,1,3,69"
"333,20,69,63,6,0,3,64"
"334,16,76,56,8,1,1,62"
"335,26,95,77,7,0,3,70"
"336,19,89,52,7,2,4,68"
"337,15,76,84,6,0,3,65"
"338,18,69,62,7,3,3,65"
"339,22,74,73,6,3,4,71"
"340,17,71,83,9,2,5,66"
"341,15,67,74,4,0,3,61"
"342,21,90,62,8,2,5,67"
"343,21,70,94,4,0,2,65"
"344,17,78,88,8,0,3,65"
"345,17,75,80,6,1,5,65"
"346,21,99,85,8,4,4,73"
"347,11,76,71,7,1,2,62"
"348,12,63,69,5,0,2,60"
"349,16,64,58,9,1,3,61"
"350,19,84,90,8,2,3,67"
"351,22,84,69,8,3,4,70"
"352,29,77,85,6,1,1,69"
"353,25,77,65,8,0,5,66"
"354,19,62,90,5,2,3,64"
"355,20,81,55,4,1,2,68"
"356,14,80,81,5,1,4,67"
"357,20,66,90,6,0,1,64"
"358,18,64,83,6,2,2,65"
"359,22,65,85,6,2,3,66"
"360,15,64,76,6,2,4,63"
"361,23,84,78,6,2,2,68"
"362,29,68,53,4,1,4,66"
"363,19,70,63,7,3,5,63"
"364,22,67,86,7,1,3,63"
"365,24,98,97,6,1,4,74"
"366,18,94,77,9,1,2,70"
"367,21,69,86,7,2,3,68"
"368,20,73,84,7,0,4,66"
"369,21,68,100,8,0,4,63"
"370,15,80,90,5,4,3,67"
"371,20,61,81,7,1,3,62"
"372,23,87,56,8,1,3,71"
"373,29,81,68,7,2,4,72"
"374,26,96,63,5,1,2,72"
"375,33,67,93,6,0,3,68"
"376,15,92,72,7,1,5,66"
"377,25,92,77,4,0,3,70"
"378,21,65,98,5,2,4,66"
"379,33,76,92,10,1,3,72"
"380,15,67,89,8,0,4,64"
"381,15,70,57,9,1,3,63"
"382,16,71,51,8,0,2,61"
"383,7,82,56,8,0,2,62"
"384,17,76,87,7,1,4,68"
"385,15,98,71,8,1,3,68"
"386,21,65,56,9,1,5,63"
"387,22,99,87,8,1,4,70"
"388,31,69,60,7,1,3,68"
"389,26,91,79,7,1,5,72"
"390,17,74,87,8,4,3,67"
"391,15,66,80,6,1,1,61"
"392,23,94,100,8,0,3,69"
"393,12,72,72,6,2,2,61"
"394,31,86,66,6,3,3,75"
"395,27,83,60,5,0,2,68"
"396,17,79,75,6,1,4,65"
"397,10,80,93,6,4,3,67"
"398,28,89,97,10,3,6,75"
"399,19,64,99,6,1,3,64"
"400,27,87,77,8,1,4,70"
"401,10,96,80,6,0,4,67"
"402,16,62,79,7,2,3,63"
"403,20,66,73,7,1,4,65"
"404,20,89,58,4,1,3,67"
"405,17,77,53,5,2,3,86"
"406,24,76,72,6,3,3,67"
"407,14,65,59,5,1,4,63"
"408,19,80,94,7,0,3,66"
"409,21,65,88,7,2,1,65"
"410,23,79,81,5,1,3,67"
"411,24,91,52,7,0,4,69"
"412,13,70,81,6,2,2,66"
"413,11,79,81,7,1,2,64"
"414,28,100,72,6,1,2,73"
"415,22,87,83,8,1,1,66"
"416,16,94,93,9,1,4,68"
"417,29,77,88,8,0,4,70"
"418,21,91,74,9,2,2,69"
"419,27,62,63,5,4,4,67"
"420,20,65,74,6,0,3,62"
"421,32,68,97,8,1,2,68"
"422,31,76,91,9,1,4,72"
"423,19,94,51,8,3,5,69"
"424,26,74,89,5,3,2,66"
"425,24,86,59,6,1,3,70"
"426,28,88,79,8,0,3,71"
"427,14,83,90,7,0,3,65"
"428,24,74,78,6,3,3,70"
"429,26,83,70,7,2,4,65"
"430,9,74,66,7,1,3,62"
"431,13,63,65,5,2,2,62"
"432,8,100,92,8,1,3,70"
"433,18,65,91,6,5,3,66"
"434,24,63,91,7,4,4,67"
"435,29,95,64,9,1,3,72"
"436,20,72,90,7,0,3,66"
"437,30,86,52,8,2,2,68"
"438,12,73,60,5,1,4,62"
"439,10,76,76,8,2,3,64"
"440,20,70,70,8,0,5,65"
"441,22,74,56,6,4,3,66"
"442,20,76,52,7,2,3,64"
"443,8,89,81,7,4,3,67"
"444,19,80,66,7,4,4,69"
"445,12,98,51,8,0,5,68"
"446,24,62,72,6,2,4,64"
"447,22,80,65,7,2,2,68"
"448,14,83,79,9,1,3,64"
"449,17,97,96,9,0,1,71"
"450,14,62,65,8,3,2,61"
"451,20,83,100,7,4,3,68"
"452,26,94,54,10,2,5,73"
"453,14,70,54,9,3,1,64"
"454,23,95,86,7,3,4,72"
"455,17,61,87,7,5,3,65"
"456,15,89,71,6,1,4,68"
"457,19,97,64,8,2,3,71"
"458,14,86,90,8,3,3,65"
"459,17,78,98,8,2,2,66"
"460,13,62,99,7,4,1,63"
"461,32,97,82,5,1,3,74"
"462,20,79,87,7,2,4,66"
"463,16,61,91,8,2,3,63"
"464,21,88,90,6,2,4,72"
"465,19,79,100,7,1,2,69"
"466,19,65,91,9,1,4,67"
"467,24,69,83,5,3,3,66"
"468,25,63,69,7,0,5,64"
"469,17,83,80,9,4,2,67"
"470,17,85,94,7,4,3,69"
"471,18,80,65,6,2,2,65"
"472,6,93,52,7,0,2,64"
"473,11,94,66,8,1,4,65"
"474,28,85,98,7,2,1,72"
"475,30,61,90,8,2,2,66"
"476,19,88,59,7,2,3,66"
"477,23,77,51,7,1,3,67"
"478,22,83,83,8,1,3,69"
"479,38,86,79,7,3,3,73"
"480,27,74,54,6,3,3,69"
"481,19,97,98,8,1,4,68"
"482,14,65,81,7,1,3,61"
"483,10,87,83,6,0,4,63"
"484,21,60,93,8,0,2,63"
"485,15,97,67,9,1,2,68"
"486,11,65,78,7,2,3,63"
"487,16,64,79,7,3,4,66"
"488,14,73,98,5,2,4,65"
"489,30,75,57,7,0,1,68"
"490,25,69,88,7,0,4,66"
"491,20,83,79,7,2,5,66"
"492,29,78,92,6,2,4,70"
"493,20,61,92,8,0,2,61"
"494,15,73,51,7,2,3,61"
"495,29,92,63,10,1,4,71"
"496,23,88,59,7,1,2,67"
"497,14,89,73,4,2,3,70"
"498,19,88,95,5,2,4,69"
"499,15,72,50,8,2,4,65"
"500,12,64,74,6,0,2,61"
"501,26,71,94,6,3,4,68"
"502,31,93,96,5,2,2,74"
"503,12,99,83,6,1,3,67"
"504,23,80,91,7,5,1,70"
"505,16,60,66,8,1,2,59"
"506,17,66,64,5,0,2,64"
"507,16,73,52,8,2,4,66"
"508,15,83,75,5,1,3,63"
"509,20,63,73,8,0,3,61"
"510,15,98,69,8,2,4,68"
"511,22,75,56,6,3,3,65"
"512,20,97,62,5,1,4,69"
"513,19,91,60,8,2,4,68"
"514,15,90,97,6,2,2,69"
"515,17,84,98,7,1,2,67"
"516,25,85,50,8,1,1,70"
"517,23,86,59,8,1,3,68"
"518,14,85,94,6,0,4,67"
"519,21,82,52,7,4,3,67"
"520,25,99,97,6,0,3,75"
"521,10,89,69,8,3,4,63"
"522,23,91,77,9,1,5,70"
"523,16,95,88,6,2,4,70"
"524,23,69,62,7,1,4,64"
"525,15,63,55,8,0,3,59"
"526,9,79,90,7,1,3,63"
"527,10,81,99,8,2,4,67"
"528,20,93,83,7,0,2,68"
"529,22,78,91,5,0,3,68"
"530,15,83,97,7,2,2,97"
"531,24,81,61,9,1,4,66"
"532,10,62,68,7,3,3,61"
"533,20,85,61,9,2,3,70"
"534,13,93,53,4,1,1,65"
"535,16,66,87,8,3,2,64"
"536,20,84,57,6,2,4,69"
"537,15,84,55,6,1,2,64"
"538,18,67,68,9,2,2,61"
"539,26,65,53,7,3,2,64"
"540,17,99,59,6,0,3,68"
"541,25,76,53,8,1,3,67"
"542,13,69,94,4,3,3,62"
"543,23,67,89,9,2,2,66"
"544,29,87,93,10,1,4,72"
"545,5,84,93,8,4,3,68"
"546,15,86,97,8,4,3,71"
"547,23,64,59,7,3,2,65"
"548,19,96,95,5,2,3,68"
"549,22,76,76,9,2,5,65"
"550,16,73,58,8,1,4,64"
"551,21,78,83,8,2,4,65"
"552,19,76,66,8,0,4,65"
"553,27,95,52,7,3,3,73"
"554,22,97,54,6,1,3,72"
"555,22,72,71,10,1,1,64"
"556,18,95,91,7,0,4,69"
"557,17,91,66,6,1,3,69"
"558,17,97,88,9,0,2,70"
"559,22,70,53,7,1,3,83"
"560,17,83,70,7,3,5,68"
"561,22,71,56,9,1,3,84"
"562,32,93,93,8,1,3,75"
"563,25,60,98,8,1,5,67"
"564,18,83,66,5,0,4,69"
"565,27,74,99,8,3,4,71"
"566,18,73,88,5,1,5,66"
"567,8,86,50,6,1,2,65"
"568,14,94,74,7,1,5,70"
"569,9,84,92,7,1,4,66"
"570,18,94,77,8,3,4,74"
"571,20,71,77,8,0,4,66"
"572,30,81,72,8,0,2,68"
"573,22,78,70,5,2,1,68"
"574,19,60,51,10,0,3,62"
"575,25,82,81,7,2,2,71"
"576,7,86,88,9,2,2,63"
"577,21,84,90,4,2,3,69"
"578,25,89,81,7,3,0,71"
"579,11,83,67,5,1,2,66"
"580,27,63,51,6,0,2,64"
"581,22,65,95,7,3,2,65"
"582,18,84,71,6,4,2,69"
"583,24,71,80,9,2,3,66"
"584,34,63,60,10,1,4,67"
"585,21,77,57,6,4,5,65"
"586,21,82,54,6,3,2,65"
"587,17,73,90,5,1,4,67"
"588,15,89,82,9,1,3,66"
"589,25,86,81,7,1,1,69"
"590,15,73,96,7,1,2,64"
"591,20,90,58,7,1,4,70"
"592,17,86,59,7,3,3,68"
"593,23,85,59,6,1,1,68"
"594,22,82,71,7,1,3,69"
"595,26,60,94,7,3,2,68"
"596,17,88,94,8,5,2,70"
"597,18,75,80,5,2,3,67"
"598,14,98,83,7,3,3,72"
"599,17,93,95,6,1,4,69"
"600,22,84,81,7,1,3,69"
"601,25,70,61,8,3,4,64"
"602,14,68,85,6,2,3,63"
"603,25,74,88,9,3,3,70"
"604,28,79,82,4,0,3,70"
"605,22,72,64,9,1,2,66"
"606,31,81,70,9,1,4,70"
"607,15,67,74,6,0,2,66"
"608,13,99,57,6,1,5,68"
"609,9,64,73,5,1,4,61"
"610,29,97,58,8,1,4,72"
"611,24,97,75,7,1,2,69"
"612,20,81,53,6,0,4,63"
"613,22,89,97,5,2,5,72"
"614,13,77,62,10,1,4,65"
"615,35,85,73,6,1,5,74"
"616,21,74,52,7,1,4,62"
"617,21,72,60,7,0,4,65"
"618,24,83,85,6,1,4,68"
"619,23,80,56,6,3,2,66"
"620,21,83,81,6,3,4,71"
"621,15,71,50,8,1,2,62"
"622,23,75,73,6,1,2,65"
"623,31,63,86,9,0,3,68"
"624,28,62,96,6,4,3,70"
"625,30,70,75,8,1,2,67"
"626,17,63,92,4,2,4,63"
"627,14,64,90,6,0,2,63"
"628,19,93,65,6,0,3,69"
"629,20,62,94,5,3,3,66"
"630,27,86,82,7,2,3,70"
"631,10,71,55,7,2,3,63"
"632,29,95,97,4,0,4,72"
"633,19,79,59,10,1,3,65"
"634,17,72,74,7,2,4,67"
"635,14,81,73,7,1,3,63"
"636,10,75,81,9,3,5,65"
"637,25,83,83,8,2,1,67"
"638,20,65,62,7,0,0,80"
"639,12,100,68,4,2,3,68"
"640,12,77,57,8,2,2,63"
"641,18,74,56,6,1,3,64"
"642,30,88,91,9,3,3,73"
"643,18,75,88,6,2,1,66"
"644,11,93,72,6,2,3,66"
"645,19,78,55,5,0,4,66"
"646,18,89,72,5,4,2,69"
"647,4,64,65,7,1,4,59"
"648,20,94,89,7,0,1,68"
"649,19,89,55,6,1,3,67"
"650,24,68,73,10,1,4,64"
"651,31,66,80,8,0,4,65"
"652,27,73,99,7,1,4,68"
"653,18,99,54,4,0,3,70"
"654,13,70,56,8,2,0,62"
"655,35,78,99,10,1,2,72"
"656,20,61,70,7,1,4,62"
"657,20,76,87,6,1,4,68"
"658,20,83,89,7,3,4,69"
"659,21,98,66,5,3,5,73"
"660,19,81,61,8,3,5,69"
"661,17,93,64,9,1,3,67"
"662,17,82,88,6,2,3,65"
"663,20,62,92,6,2,3,63"
"664,17,73,85,7,2,2,66"
"665,16,83,72,6,1,2,66"
"666,21,98,63,5,0,2,70"
"667,18,94,71,6,2,3,69"
"668,29,69,96,6,1,4,70"
"669,4,69,93,9,2,3,58"
"670,27,68,66,9,3,3,67"
"671,27,97,66,9,1,3,73"
"672,8,94,89,8,0,2,66"
"673,18,91,71,7,0,3,70"
"674,18,76,79,6,1,2,67"
"675,12,80,71,9,1,3,60"
"676,15,79,62,8,1,3,65"
"677,13,70,59,5,0,2,63"
"678,31,80,57,6,1,3,72"
"679,26,61,51,5,0,5,62"
"680,28,65,64,4,6,3,70"
"681,24,95,59,8,2,1,70"
"682,13,90,63,5,0,4,64"
"683,17,77,54,6,3,4,64"
"684,23,81,67,7,0,5,67"
"685,13,75,76,7,1,1,64"
"686,24,90,97,6,1,4,72"
"687,19,91,67,9,0,3,66"
"688,18,91,52,5,2,4,66"
"689,24,89,68,5,0,2,71"
"690,23,68,91,8,5,5,66"
"691,18,74,67,6,2,2,64"
"692,27,79,65,6,0,2,66"
"693,14,73,96,5,1,3,62"
"694,24,90,65,8,4,4,70"
"695,24,73,99,7,3,3,69"
"696,18,66,92,7,2,4,65"
"697,22,76,84,6,2,3,70"
"698,12,99,80,6,0,3,70"
"699,26,69,61,7,1,2,67"
"700,19,84,87,8,2,3,69"
"701,17,77,67,9,0,5,62"
"702,26,63,74,9,1,4,67"
"703,16,80,55,8,0,6,65"
"704,12,88,65,8,0,4,65"
"705,11,81,76,5,1,3,65"
"706,24,95,73,6,3,2,69"
"707,12,72,67,8,4,4,63"
"708,31,63,74,7,3,2,66"
"709,8,97,87,8,0,2,67"
"710,30,75,73,8,1,3,69"
"711,21,83,75,8,1,2,67"
"712,19,92,85,5,1,4,70"
"713,17,73,92,7,2,2,67"
"714,22,89,76,6,2,4,70"
"715,20,65,97,6,0,3,65"
"716,27,72,68,4,0,3,63"
"717,21,66,63,7,0,3,64"
"718,21,92,85,4,1,3,69"
"719,18,69,59,8,1,4,60"
"720,20,89,95,9,3,3,69"
"721,22,98,69,8,4,2,72"
"722,10,81,85,7,1,2,63"
"723,12,82,79,9,0,2,63"
"724,24,78,53,7,0,4,66"
"725,21,73,85,6,6,5,70"
"726,19,79,90,7,1,4,68"
"727,20,84,99,10,2,3,69"
"728,22,99,71,5,0,4,72"
"729,17,98,75,5,1,3,67"
"730,15,94,94,8,1,4,68"
"731,21,96,63,7,1,2,70"
"732,14,79,59,6,5,3,68"
"733,22,86,57,5,2,3,69"
"734,10,96,99,4,1,5,68"
"735,26,76,64,5,0,5,66"
"736,23,98,88,9,1,4,72"
"737,22,77,72,7,2,3,67"
"738,26,84,62,4,3,2,70"
"739,30,88,96,9,1,3,73"
"740,26,98,73,9,1,6,73"
"741,9,70,78,9,1,2,60"
"742,12,90,61,6,2,3,67"
"743,16,81,66,7,3,4,69"
"744,20,71,87,7,1,5,65"
"745,23,91,67,9,2,4,70"
"746,16,82,75,6,3,3,68"
"747,21,86,56,6,1,2,66"
"748,15,73,93,8,1,4,65"
"749,16,79,87,9,1,2,64"
"750,12,85,88,7,1,0,67"
"751,14,76,59,8,3,5,65"
"752,12,68,75,7,1,4,64"
"753,14,98,51,7,0,1,67"
"754,26,80,66,6,2,4,70"
"755,14,89,67,5,3,3,63"
"756,36,76,96,6,1,2,71"
"757,23,74,100,6,2,3,68"
"758,21,76,81,7,0,2,67"
"759,15,76,76,9,1,2,67"
"760,24,82,72,7,0,2,68"
"761,17,82,51,6,1,3,66"
"762,21,80,90,8,0,4,68"
"763,35,65,84,7,0,2,70"
"764,19,80,82,8,5,3,67"
"765,27,67,90,6,2,3,67"
"766,16,65,96,9,2,2,62"
"767,20,97,69,9,0,3,67"
"768,31,84,71,7,4,4,70"
"769,16,86,99,8,4,4,72"
"770,31,76,83,9,2,3,70"
"771,24,96,93,6,2,2,94"
